uf	12									
Nome	<1930	<1940	<1950	<1960	<1970	<1980	<1990	<2000	<2010	Total Geral
Total Geral	2937	7588	17004	31294	48782	69754	89767	109440	129986	506552
MARIA	694	1709	4052	8361	12091	13060	10370	6697	6138	63172
JOSE	307	727	1582	2657	4077	5299	4159	3292	2499	24599
FRANCISCO	314	707	1541	2594	3706	3760	3806	2923	1752	21103
ANTONIO	148	391	894	1560	2464	3296	3404	2848	2030	17035
ANA	29	40	72	167	353	772	1223	2255	5548	10459
JOAO	176	352	656	917	1088	1047	986	1555	3606	10383
FRANCISCA	205	506	1056	1453	1856	1897	1612	1118	555	10258
RAIMUNDO	200	451	968	1493	2040	1798	1213	605	225	8993
ANTONIA	28	100	277	497	825	1195	1284	1092	804	6102
RAIMUNDA	151	334	732	963	1141	965	595	244	70	5195
MANOEL	135	293	536	787	906	879	618	371	203	4728
PEDRO	68	141	298	401	483	419	336	502	1586	4234
CARLOS		27	71	254	626	736	635	574	1259	4182
PAULO		36	60	168	348	519	721	884	1201	3937
MARCOS				36	176	578	712	947	1187	3636
LUCAS						18	135	1391	1954	3498
SEBASTIAO	44	140	290	530	683	613	465	297	153	3215
LUIZ	44	82	182	264	365	333	278	503	1095	3146
MATEUS						21	72	984	1542	2619
GABRIEL					15	17	74	547	1834	2487
DANIEL				37	70	146	448	660	1012	2373
MARCELO					40	241	555	640	357	1833
BRUNO							153	771	900	1824
FELIPE					20	18	127	651	990	1806
ANDRE					21	134	467	616	563	1801
LUIS	21	51	91	136	214	190	172	272	654	1801
TIAGO						16	304	596	776	1692
EDUARDO			24	37	42	89	145	290	997	1624
RAFAEL						17	221	583	775	1596
VITORIA								171	1336	1507
VANESSA						36	171	666	601	1474
ADRIANA					15	151	582	505	208	1461
SARA						48	138	416	784	1386
ALINE						29	217	603	533	1382
GUSTAVO						28	108	315	917	1368
FERNANDO		16	19	44	79	104	230	402	460	1354
JORGE		25	47	142	282	233	198	243	180	1350
SEBASTIANA	19	62	154	223	302	250	186	97	42	1335
FERNANDA						44	263	427	593	1327
RODRIGO						59	254	544	462	1319
JULIANA				16	20	68	248	424	536	1312
SAMUEL				15		64	155	303	773	1310
LEANDRO						48	387	561	304	1300
FABIO				16	25	107	471	393	287	1299
ANDERSON						50	275	558	393	1276
LUANA						19	183	584	487	1273
BRUNA							94	584	574	1252
SANDRA				23	111	388	457	185	69	1233
DAVI				22	42	106	153	226	675	1224
AMANDA						17	89	414	700	1220
DIEGO							238	482	470	1190
ALEXANDRE					22	102	289	391	380	1184
VITOR					15		39	175	939	1168
RAQUEL					25	134	299	365	340	1163
ANDRESSA							38	607	514	1159
MARCIO					31	243	450	263	171	1158
MARCIA					71	274	463	240	97	1145
ROSA	18	38	52	92	200	385	203	112	40	1140
LUCIANA					15	200	510	242	161	1128
LEONARDO					25	56	155	507	375	1118
CAMILA							132	446	535	1113
MANUEL	32	59	137	190	214	210	149	75	36	1102
PATRICIA						133	364	400	182	1079
JAQUELINE						77	217	468	290	1052
ADRIANO					20	68	319	344	251	1002
ELIANE					30	167	407	252	128	984
RICARDO					47	131	258	251	297	984
LETICIA					16		27	152	773	968
ROBERTO			32	85	167	228	217	125	114	968
LARISSA							59	344	556	959
DEBORA						47	141	326	442	956
THIAGO							260	304	390	954
JESSICA							55	704	187	946
MARIO	21	47	73	110	157	178	148	109	96	939
ELIAS		19	37	68	87	146	166	193	220	936
ALEX						69	212	333	309	923
ANDREIA						94	387	303	138	922
JONAS			17	47	81	109	228	221	218	921
ANGELA				25	147	265	235	135	94	901
LUZIA	18	30	97	133	131	154	131	117	68	879
BEATRIZ			15			16	24	223	598	876
JULIO		18	24	44	82	88	121	185	305	867
JANAINA						43	194	393	235	865
EDSON			18	85	107	185	205	140	119	859
ALAN						38	149	253	410	850
SABRINA							53	257	533	843
FABIANA						43	277	321	199	840
DANIELE						25	188	292	327	832
DAIANE							163	463	201	827
ELIANA				18	59	181	319	159	83	819
TEREZINHA		74	111	185	187	129	60	43	15	804
JULIA	29	25	40	31	38	27	55	113	430	788
ROSANGELA					106	231	246	143	53	779
LUAN							15	265	496	776
LUCIANO				15	25	82	255	237	161	775
GABRIELA						15	95	236	422	768
ERICA						55	146	267	299	767
SAMARA						21	164	358	223	766
ITALO							72	307	373	752
