uf	27									
Nome	<1930	<1940	<1950	<1960	<1970	<1980	<1990	<2000	<2010	Total Geral
MARIA	6211	13698	28976	50842	62137	55177	39627	28655	36007	321330
JOSE	2973	7493	16872	28196	40922	45452	41350	36120	29061	248439
ANA	167	278	513	1402	3617	8040	10627	9169	12774	46587
JOAO	950	1965	3256	4098	4418	3399	3783	7163	14702	43734
ANTONIO	1059	2366	4866	6440	6711	5580	3797	2408	1780	35007
CICERO	272	984	2577	5481	7288	6862	4373	2699	1286	31822
JOSEFA	960	2185	4107	5493	5820	4947	2902	1033	328	27775
CARLOS	26	83	328	1042	2089	3150	4337	4809	8518	24382
MANOEL	944	1848	3075	3453	3621	2743	2012	1453	944	20093
PAULO	46	216	666	1479	2410	3028	3507	3456	3303	18111
PEDRO	371	723	1191	1387	1432	1258	1470	2739	6662	17233
LUIZ	222	670	1297	1983	2227	1854	2034	2549	3968	16804
MARCOS			81	375	1319	3105	3399	3265	3530	15074
LUCAS			16	16	36	99	823	6141	7589	14720
CICERA	176	640	1575	3029	3533	3025	1609	736	238	14561
FRANCISCO	198	536	1275	2275	2622	1858	1318	706	445	11233
DANIEL	20	43	100	183	419	779	1760	3722	3424	10450
LUIS	149	314	690	1116	1262	1070	1258	1649	2515	10023
QUITERIA	93	210	362	842	2652	2746	1631	601	134	9271
ADRIANA					226	3129	3848	1576	419	9198
RAFAEL		19	44	55	101	152	1872	4064	2478	8785
GABRIEL		25	44	68	70	84	248	1849	6379	8767
EDUARDO	34	53	150	271	372	646	1086	2381	3681	8674
JULIANA					38	427	2630	3463	1448	8006
ALINE				20	54	378	2386	3469	1522	7829
ANDERSON					28	248	1794	3571	2121	7762
JESSICA						29	395	5594	1530	7548
LUCIANO			31	76	481	2519	2385	1354	651	7497
MARCELO			32	102	467	1285	2516	2046	1034	7482
BRUNO					22	177	1256	3299	2725	7479
FELIPE					20	95	852	3193	3115	7275
FABIO				39	188	1128	3128	1757	966	7206
SEBASTIAO	268	550	1237	1540	1403	945	554	277	156	6930
ELIANE			40	296	1096	2074	1983	1052	284	6825
VITORIA			20	62	95	73	75	924	5422	6671
LUCIANA				50	304	2235	2424	1142	497	6652
MANUEL	326	599	941	1185	1137	931	658	478	319	6574
ADRIANO			15	18	97	1481	2986	1388	586	6571
FERNANDO	21	89	226	445	808	1042	1348	1528	1063	6570
ANTONIA	454	796	1153	1317	1189	892	415	197	103	6516
VANESSA						133	1531	2971	1833	6468
EDSON		70	151	369	749	1161	1569	1426	927	6422
MARCIA			43	176	718	1697	2251	1106	352	6343
SANDRA			22	140	1100	2611	1802	405	151	6231
LEANDRO				19	34	129	1888	2902	1247	6219
TIAGO					18	119	2024	2275	1597	6033
ANDRE		17	31	61	242	1025	1952	1501	1167	5996
MATEUS						20	72	1386	4472	5950
PATRICIA				16	132	1223	2522	1652	381	5926
BENEDITO	187	540	1342	1483	1165	669	324	150	58	5918
AMANDA						92	874	2803	2141	5910
MARIANA			28	33	40	95	859	2255	2491	5801
CARLA					82	450	1419	1941	1790	5682
FERNANDA				25	85	315	1386	2202	1654	5667
LARISSA						35	452	2217	2846	5550
FABIANA					31	577	2942	1494	431	5475
LUANA						39	781	2908	1697	5425
LETICIA		27	48	40	51	55	308	1480	3396	5405
RICARDO			39	145	488	1152	1316	1320	930	5390
SEVERINO	57	249	678	1075	1328	1099	554	183	64	5287
JAQUELINE					123	347	1715	2252	805	5242
MARCIO			24	57	269	1333	1962	947	649	5241
ROBERTO		30	140	390	996	1250	1180	750	485	5221
ALEXANDRE			15	54	247	961	1667	1280	856	5080
RITA	55	173	403	573	1158	1132	687	569	327	5077
JORGE	45	129	349	827	1047	803	709	702	455	5066
EDVALDO		53	240	443	867	1318	1157	609	272	4959
VITOR				20	17	38	248	1064	3531	4918
ALEX					53	486	1351	1762	1230	4882
CAMILA						42	649	2173	2008	4872
GUSTAVO				27	74	286	522	1262	2699	4870
DANIELA					34	337	1363	2067	1026	4827
DIEGO					15	27	1128	2134	1511	4815
JEFERSON				18	59	186	771	2434	1330	4798
RODRIGO					23	232	1254	1811	1451	4771
JULIA	190	264	259	164	109	85	190	579	2902	4742
BENEDITA	211	612	1160	1198	851	432	170	59		4693
SIMONE				47	331	1092	2280	801	141	4692
BRUNA						29	415	2107	2093	4644
RAFAELA						35	959	2463	1147	4604
ERICA					15	115	737	1853	1882	4602
VERA			161	811	1618	1336	507	102	28	4563
LEONARDO		27	76	109	134	209	700	2001	1266	4522
LUCIENE			20	179	842	1667	1157	406	118	4389
RONALDO			71	220	639	982	1154	979	342	4387
RENATA					34	215	1191	1911	976	4327
ROSANGELA				168	658	1355	1308	604	195	4288
SAMUEL		15	42	70	168	292	600	1009	2033	4229
FLAVIO			35	63	206	734	1238	1026	868	4170
THIAGO						99	1568	1384	1109	4160
CRISTIANE					84	1064	1989	774	248	4159
DAVI		16	25	57	100	144	448	978	2380	4148
JAILSON				40	260	1006	1262	1063	471	4102
CLAUDIA				58	473	1342	1118	758	330	4079
BEATRIZ	28	66	69	42	41	67	145	1361	2252	4071
AMARO	92	269	626	976	852	589	371	170	64	4009
ROSEANE				62	348	1098	1405	829	265	4007
FRANCISCA	114	315	674	963	912	514	326	111	40	3969
ALICE	84	145	121	65	62	71	201	1227	1965	3941
