uf	13									
Nomes	<1930	<1940	<1950	<1960	<1970	<1980	<1990	<2000	<2010	Total Geral
Total Geral	14402	38797	84921	165542	259840	381066	510382	591642	694790	2741382
MARIA	2966	6911	15834	32556	38749	30584	18806	10195	16433	173034
JOSE	789	2226	4992	10125	13812	13487	9899	6803	6862	68995
FRANCISCO	728	1804	3792	7051	9116	8895	7697	4951	3682	47716
ANA	167	290	611	1636	3644	6241	7329	9196	18479	47593
ANTONIO	535	1293	2735	5281	7526	8063	7178	5357	4617	42585
JOAO	537	1286	2444	4388	5420	4741	4678	5011	12729	41234
RAIMUNDO	691	2005	4280	7251	9128	7640	5537	2930	1452	40914
CARLOS	41	184	671	1782	3023	3831	4010	3665	6589	23796
PAULO	55	192	504	1526	2865	3623	4205	4115	4941	22026
RAIMUNDA	724	1588	2881	4079	4697	3718	2590	1205	490	21972
FRANCISCA	563	1246	2204	3181	3590	3500	2806	1711	1151	19952
PEDRO	258	610	1151	1986	2486	2142	2032	2356	5928	18949
MARCOS		46	90	261	1025	3152	3735	4087	5618	18014
LUCAS			31	39	74	199	538	6276	10331	17488
MANOEL	406	997	1787	2679	3053	2526	1850	1102	818	15218
LUIZ	135	332	671	1330	2052	1915	1957	2359	4453	15204
GABRIEL		20	37	73	108	200	581	4015	9467	14501
DANIEL		49	99	210	444	1210	3150	3845	4934	13941
ANTONIA	175	464	773	1171	1951	2205	2307	1878	1495	12419
MATEUS			28	38	93	201	437	3527	6515	10839
LUIS	67	168	401	861	1374	1330	1285	1709	3339	10534
FELIPE	17	17	33	66	105	201	959	4005	4817	10220
ANDRE	16	33	54	129	272	1389	2960	2549	2621	10023
MARCELO			24	55	335	2017	3067	2576	1933	10007
BRUNO				21	51	188	2029	4158	3333	9780
RODRIGO				34	68	371	2265	4431	2550	9719
SEBASTIAO	160	441	949	1581	1887	1542	1242	712	415	8929
RAFAEL		23	23	52	96	248	1995	3561	2929	8927
EDUARDO	15	48	121	273	415	791	1276	2148	3747	8834
ANDERSON				16	40	505	2833	3340	1897	8631
TIAGO				27	58	140	1663	2903	3631	8422
ADRIANA				26	104	1365	3446	2308	897	8146
MARIO	82	169	388	990	1592	1645	1370	826	679	7741
JESSICA					15	66	651	5317	1627	7676
MANUEL	234	540	884	1434	1567	1204	896	481	405	7645
FERNANDO	31	90	193	423	673	798	1487	1823	2122	7640
FABIO			23	57	211	1153	2952	1805	1427	7628
FERNANDA			29	47	121	382	1232	2262	3488	7561
JORGE	48	122	322	901	1452	1310	1261	1148	947	7511
DIEGO					16	84	2018	3076	2213	7407
LEANDRO			33	49	98	369	1979	2847	1944	7319
JULIANA			22	46	51	375	1297	2693	2808	7292
SAMUEL		43	62	105	255	486	1040	1561	3600	7152
MARCIA			22	81	410	2180	2642	1148	606	7089
LEONARDO		24	51	85	159	393	1053	3061	2182	7008
PATRICIA				26	119	1122	2562	2272	882	6983
ADRIANO		22	22	51	110	484	2275	2363	1627	6954
VITORIA	28	33	46	41	57	72	120	872	5672	6941
ALEXANDRE	22	32	59	94	251	1027	1626	1957	1746	6814
GUSTAVO			18	43	77	170	422	1082	4992	6804
MARCIO			16	68	213	2205	2378	1121	800	6801
ALINE					47	243	1327	2438	2728	6783
LUANA					33	102	913	2935	2494	6477
RICARDO		27	75	199	616	1489	1504	1230	1311	6451
AMANDA					24	214	927	2438	2816	6419
VANESSA					28	290	2013	2553	1504	6388
BRUNA					20	92	830	2925	2509	6376
RAQUEL	16	19	32	65	181	533	1464	1927	2092	6329
THIAGO				15	27	80	1309	2297	2515	6243
VITOR		35	58	57	83	130	331	1310	4139	6143
DEBORA				33	97	432	1130	2078	2297	6067
LARISSA					22	61	446	2565	2969	6063
DAVI		21	57	138	246	446	884	1200	3069	6061
ROBERTO	24	64	232	570	1057	1341	1315	796	597	5996
CAMILA					20	89	749	2652	2417	5927
SANDRA			66	451	1128	1664	1419	665	456	5849
BEATRIZ	17	26	42	49	79	129	318	2008	3178	5846
CARLA				27	127	790	1562	1609	1703	5818
DANIELE					18	305	1938	1941	1568	5770
JULIO	34	96	158	315	594	846	1065	1057	1584	5749
ALEX					74	549	1455	1944	1642	5664
LETICIA		22	32	48	89	145	311	1042	3914	5603
GUILHERME	23	37	71	87	118	136	284	706	4000	5462
LUCIANA			15	21	96	942	2066	1310	942	5392
SARA			20	41	127	291	701	1405	2775	5360
EDSON		58	194	447	739	1089	1221	840	693	5281
ALESSANDRA					30	756	1687	1489	1126	5088
CRISTIANE					72	1127	2223	1052	529	5003
ELIAS	30	72	156	303	536	623	880	935	1414	4949
ROSA	150	237	452	749	1018	1141	617	342	238	4944
RENATO		30	97	187	350	814	1385	1070	859	4792
MOISES		43	106	203	498	802	1098	929	1104	4783
ANDREIA					52	1191	1870	1141	513	4767
SERGIO		27	84	251	707	1118	1001	704	715	4607
JAQUELINE					118	360	1102	1906	1118	4604
ELIANE				56	268	956	1698	1020	519	4517
JONAS	21	44	94	199	390	636	1063	1132	920	4499
SABRINA						61	375	1768	2272	4476
JULIA	90	151	144	238	240	283	396	631	2238	4411
RONALDO			30	142	485	1013	1155	1118	468	4411
PAULA		19	53	74	192	489	1175	1321	1066	4389
ERICA					22	249	1172	1582	1298	4323
GABRIELA						97	412	1467	2292	4268
CAIO					22	55	328	1368	2475	4248
FABRICIO					32	260	1044	1446	1465	4247
JOANA	144	272	361	493	627	627	644	485	586	4239
LUCIANO		21	43	78	149	666	935	1133	1148	4173
