uf	16									
Nome	<1930	<1940	<1950	<1960	<1970	<1980	<1990	<2000	<2010	Total Geral
Total Geral	1651	4828	11599	25073	42325	64294	85183	102640	118544	456137
MARIA	573	1340	3252	6608	8480	6623	3589	1586	3247	35298
JOSE	89	401	976	2267	3433	3268	2153	1464	1350	15401
ANA	34	74	138	390	924	1325	1270	1707	4235	10097
JOAO	79	210	431	786	1041	859	806	1001	2882	8095
RAIMUNDO	162	422	843	1423	1605	1315	701	298	126	6895
ANTONIO	64	247	519	943	1420	1406	926	516	433	6474
MANOEL	117	226	576	934	961	894	521	232	160	4621
FRANCISCO	54	188	412	796	1106	842	683	297	197	4575
PAULO		20	47	263	614	753	848	791	997	4333
CARLOS		19	70	282	563	634	639	579	1130	3916
LUCAS						27	93	1275	2167	3562
PEDRO	35	101	199	332	418	374	316	400	1166	3341
MARCOS			15	30	125	417	656	833	1249	3325
RAIMUNDA	137	301	534	667	617	508	222	66	18	3070
GABRIEL					16	23	100	887	1911	2937
LUIZ		25	112	256	435	437	366	432	824	2887
BENEDITO	34	97	231	369	481	537	410	250	112	2521
DANIEL			29	48	107	199	413	630	886	2312
RAFAEL						21	541	979	696	2237
MATEUS					15	26	40	603	1405	2089
FELIPE						18	169	813	1048	2048
BRUNO						25	366	950	660	2001
EDUARDO			22	57	78	116	169	361	1070	1873
MARCELO					64	347	575	524	362	1872
RODRIGO						55	364	867	565	1851
ANDERSON						91	596	753	352	1792
ANDRE			16	18	36	167	433	561	552	1783
LUIS		24	42	141	265	247	248	283	521	1771
FABIO						227	684	473	295	1679
FRANCISCA	46	111	197	279	322	292	206	73	32	1558
ALINE						29	382	589	539	1539
TIAGO				17	22	23	157	428	849	1496
AMANDA							101	554	838	1493
MARCIO					52	510	543	224	149	1478
FERNANDA						55	185	461	742	1443
PATRICIA						240	583	471	145	1439
MANUEL	26	92	156	321	310	249	155	69	48	1426
DIEGO							401	625	377	1403
ADRIANA						277	592	400	133	1402
ANTONIA	43	65	154	198	296	282	214	96	38	1386
ALEX					17	206	407	448	304	1382
CAMILA							201	642	523	1366
JESSICA							73	1140	143	1356
JULIANA						40	156	468	687	1351
JORGE			37	153	288	242	218	233	178	1349
BENEDITA	31	81	151	176	245	279	218	104	42	1327
ADRIANO					16	135	487	415	272	1325
MARCIA					102	401	463	242	73	1281
FERNANDO			21	45	104	139	244	339	383	1275
LEANDRO						24	297	548	399	1268
VITORIA								147	1121	1268
BRUNA							149	620	497	1266
GUSTAVO							40	149	1050	1239
VANESSA						23	253	565	389	1230
CARLA					15	126	370	387	309	1207
LUANA							210	586	405	1201
VITOR					22		49	219	892	1182
DANIELE						37	361	445	322	1165
ALEXANDRE				19	36	139	236	377	345	1152
LARISSA							66	503	547	1116
BEATRIZ						17	50	386	649	1102
SANDRA				63	225	368	307	101	37	1101
ALAN						127	272	404	291	1094
SEBASTIAO	22	58	127	186	226	222	136	65	50	1092
LETICIA						21	95	337	617	1070
EDSON				56	143	300	306	162	93	1060
ELIANE					31	238	432	268	89	1058
JOSIANE					15	195	452	285	110	1057
ALESSANDRA						136	287	363	263	1049
LEONARDO				16	36	54	91	456	370	1023
RONALDO				50	175	261	233	186	88	993
JAQUELINE						45	233	488	225	991
SARA					28	73	143	260	473	977
CRISTIANE						198	442	225	111	976
DEBORA					22	65	151	349	373	960
ROBERTO			18	55	216	251	179	154	81	954
CAIO							49	278	596	923
REGINALDO				32	193	388	201	79	25	918
GABRIELA							72	324	510	906
DAVI				21	38	59	87	139	552	896
RUAN							64	307	520	891
JOANA	29	70	83	152	159	144	91	74	84	886
SABRINA						16	115	364	389	884
RENATO				22	45	80	275	281	168	871
ANDREIA						167	409	206	79	861
ERICA						48	210	350	248	856
LUAN							42	389	424	855
RAFAELA							172	415	267	854
GUILHERME						21	39	114	674	848
DANILO						17	135	340	353	845
SIMONE					38	271	374	128	33	844
DAIANE							252	465	125	842
JEFERSON					18	78	173	381	190	840
SAMUEL				15	44	69	171	181	353	833
RICARDO				18	59	127	176	240	207	827
RENATA						56	245	307	217	825
BRENDA							37	456	318	811
JULIA		23	46	32	29	26	42	82	528	808
THIAGO							118	239	451	808
