uf	29									
Nome	<1930	<1940	<1950	<1960	<1970	<1980	<1990	<2000	<2010	Total Geral
MARIA	25846	50476	94216	154528	171243	117485	62027	28442	61975	766238
JOSE	9888	21659	43894	69810	89631	78886	55326	32011	18496	419601
ANA	3278	5155	8680	14712	23072	33319	37646	30434	60108	216404
ANTONIO	4850	11384	23596	37730	45141	37958	23766	11235	7153	202813
JOAO	5197	9999	16982	23337	26177	20124	18702	22628	50779	193925
CARLOS	315	1135	3574	9497	15694	17200	19501	13425	18524	98865
PAULO	346	785	1933	5745	11961	15233	15654	13145	12913	77715
MARCOS	67	104	269	959	4502	13842	19358	18674	17709	75484
MANOEL	3439	6771	11402	13960	14942	11427	6468	3074	1585	73068
PEDRO	1779	3146	5208	7020	8256	6732	6692	8582	24308	71723
LUCAS	19	46	73	114	197	735	7253	31893	27532	67862
LUIS	271	737	1821	4470	7160	8171	8396	7931	13330	52287
GABRIEL	113	198	310	475	472	578	2307	13496	33253	51202
DANIEL	270	644	1181	1302	1952	3000	8253	13990	18063	48655
RAFAEL	107	212	346	471	646	988	9822	20744	14627	47963
FRANCISCO	1801	3489	6280	9062	10363	7354	5084	2382	1569	47384
LUIZ	343	917	2316	4902	6780	6874	7025	6584	11431	47172
MATEUS	30	53	63	102	154	409	2029	16044	22532	41416
RAIMUNDO	591	2041	5259	8754	10476	6856	3610	1229	458	39274
BRUNO	18	43	46	67	126	900	6548	16362	13704	37814
FABIO		51	82	151	684	6974	17085	8016	4388	37431
JORGE	212	528	1463	6011	9227	7667	6282	3715	2209	37314
ADRIANA	38	52	60	81	597	9991	16230	8202	1958	37209
RITA	491	885	1776	3845	13003	9727	4166	1366	635	35894
TIAGO	70	93	123	150	155	483	10712	12922	11120	35828
MARCELO		30	103	386	2253	6896	12436	8549	4601	35254
JOSEFA	2154	3773	6155	6492	6293	5063	3053	1642	591	35216
EDSON	97	516	1560	3341	5628	7910	8506	4768	2460	34786
ANDRE	168	347	628	920	1863	7139	10726	7021	5654	34466
LEANDRO	31	70	83	109	225	1283	14351	12786	4600	33538
ANTONIA	2047	3574	5894	6781	6560	4642	2614	928	429	33469
PATRICIA	20	23	28	75	676	7869	13796	8419	2336	33242
ALINE		28	54	74	207	1686	11568	13888	5556	33061
RODRIGO	27	56	80	100	173	1287	8176	14833	7766	32498
ANDERSON				47	193	2521	10551	11979	6879	32170
EDUARDO	155	306	853	1816	2473	3967	5633	6056	10876	32135
FELIPE	73	139	176	179	197	349	2357	12443	15812	31725
JULIANA	65	91	139	169	218	1516	9064	12005	6488	29755
ROBERTO	65	199	774	2207	5628	8527	7545	3242	1549	29736
FERNANDA			26	62	193	1785	8520	10981	7710	29277
CAMILA	40	44	38	33	63	358	4995	12506	10888	28965
FERNANDO	163	473	1058	2213	3160	3932	7123	6832	3579	28533
VANESSA				17	68	699	7584	11982	8065	28415
MANUEL	1309	2445	4258	5433	5916	4297	2576	1285	806	28325
LUCIANO	24	62	192	508	1477	7830	9259	6172	2782	28306
LUCIANA	25	32	64	146	811	8447	11883	4687	1872	27967
SANDRA		19	108	1169	4597	9699	8822	2393	700	27507
DIEGO				15	44	187	7876	12490	6853	27465
MARCIA			126	772	4100	9299	8549	3493	1011	27350
DANIELA				21	114	2513	9796	10568	4064	27076
ALEX				53	341	4304	8338	8707	5101	26844
LEONARDO	55	141	240	290	416	1547	6339	11412	6311	26751
JESSICA					33	130	2157	19330	5092	26742
RICARDO	62	156	239	529	1439	5101	8422	6247	4206	26401
AMANDA	66	143	142	107	104	407	2445	10158	12693	26265
GUSTAVO	36	53	123	200	295	879	1697	4221	18570	26074
JAQUELINE				19	435	1582	7350	11476	4904	25766
MARCIO	15	25	67	182	1062	7874	9736	4061	2727	25749
DANILO			27	71	120	586	7604	11163	5969	25540
ADRIANO	47	142	213	204	440	3511	10612	6682	3325	25176
LUANA				22	44	271	4144	12111	8522	25114
BEATRIZ	163	319	439	416	398	408	999	7506	14277	24925
CRISTIANE				43	747	7856	10538	4324	1209	24717
MARINALVA	36	330	2237	6500	7186	4947	1825	429	116	23606
LARISSA					30	226	1993	10255	11075	23579
JOANA	1924	2720	3503	3821	3359	2449	2217	1556	1640	23189
VITOR	78	87	156	203	242	417	1929	6053	13907	23072
ROBSON		15	24	265	1287	4089	8305	5990	3021	22996
MARIANA	254	335	495	444	436	796	3926	7180	9124	22990
CARLA				54	584	3403	8382	6477	4070	22970
JULIA	1062	1532	1920	1543	1166	720	926	2121	11709	22699
CLAUDIO	57	145	306	853	2678	8086	5806	2831	1678	22440
EDVALDO	106	550	2051	4088	5313	5029	3455	1248	430	22270
LETICIA	42	109	155	232	249	578	2061	5785	13059	22270
DAIANE					22	307	8472	10676	2616	22093
SIMONE		20	61	183	1179	6605	9474	3689	783	21994
ELIANA		22	150	1431	3161	6564	6945	2730	960	21963
CLAUDIA		28	57	198	2582	8906	6399	2673	848	21691
BRUNA					22	126	1668	9418	10433	21667
SAMUEL	43	93	187	410	768	1254	3185	5375	10200	21515
LUCIENE			78	544	3665	7829	6687	2062	489	21354
VITORIA	209	333	528	602	540	404	310	3051	15332	21309
ELIENE		27	182	975	3939	7180	6422	2102	452	21279
GUILHERME	97	176	238	309	332	394	769	2578	16245	21138
JAMILE				26	91	382	4969	9871	5440	20779
JEFERSON			28	51	249	814	3646	9780	5964	20532
ERICA				24	87	824	4851	8517	6213	20516
DAVI	67	160	360	559	838	1088	2104	3181	11977	20334
REGINALDO	49	189	653	1738	3417	6376	5228	2022	625	20297
ISABEL	1152	1968	2947	3462	3623	2609	1772	1117	1426	20076
ALAN				53	178	1337	4621	7231	6475	19895
MARILENE		81	671	2496	5369	6009	3673	1158	307	19764
MARLENE		363	1615	3924	5613	4645	2521	714	167	19562
FABIANA				18	111	2214	8854	5799	2156	19152
RAIMUNDA	440	1315	2977	4594	4857	3001	1321	299	58	18862
ROSANGELA			29	570	3126	6420	5646	2394	638	18823
EDNA	86	412	1119	2604	4164	4510	3574	1611	623	18703
SERGIO	47	107	305	903	2980	5481	5073	2450	1300	18646
GABRIELA					45	525	2581	6805	8667	18623
VERA	16	77	958	4518	5993	4556	1886	408	123	18535
