uf	23									
Nome	<1930	<1940	<1950	<1960	<1970	<1980	<1990	<2000	<2010	Total Geral
MARIA	27297	57303	104428	156037	174567	148186	117578	87597	94049	967042
FRANCISCO	7233	14730	34172	52794	78460	88260	100444	88197	55989	520279
JOSE	8591	19746	38280	55259	72736	66214	57977	47709	33964	400476
ANTONIO	4827	10262	21021	31934	48489	52855	53780	46400	29780	299348
FRANCISCA	6880	11776	23818	27527	33898	34206	35678	28817	15262	217862
ANA	1452	1743	2617	4900	13402	24644	35041	37406	60930	182135
ANTONIA	2455	4979	9809	15614	25196	28233	29022	23451	13206	151965
JOAO	3570	6490	10731	14516	17980	14508	21539	20590	38979	148903
RAIMUNDO	4421	8514	13856	17326	21373	15686	10342	5459	2107	99084
CARLOS	104	336	882	2825	7190	9926	13360	13350	18458	66431
PEDRO	1444	2568	3809	4665	5861	5166	6419	10377	25046	65355
PAULO	247	608	1253	2806	6119	9562	14458	12540	10361	57954
RAIMUNDA	4430	7076	9512	9046	9183	6141	3310	1342	342	50382
CICERO	281	890	1608	2399	4421	12007	11579	8178	4952	46315
LUIS	1042	2037	3210	4650	6259	5281	5388	5303	8413	41583
MARCOS	32	80	226	892	4254	8759	8754	8301	8985	40283
LUIZ	1159	2167	3425	4993	6013	4999	4754	4759	7008	39277
LUCAS	26	51	52	81	130	242	1522	18097	15715	35916
MANOEL	2018	3559	5238	5593	5693	4618	3584	2535	1446	34284
RITA	1147	2438	4235	4984	6461	5210	3460	2131	1308	31374
DANIEL	39	91	178	289	661	2257	7266	9339	7065	27185
GABRIEL	50	78	113	170	203	195	853	6160	18923	26745
CICERA	74	265	643	943	2061	7203	7349	4553	2231	25322
RAFAEL	28	49	81	127	233	467	8347	10280	5329	24941
VITORIA	23	28	71	80	130	158	256	4798	18253	23797
MANUEL	1297	2359	3462	3808	3907	3037	2504	1724	1070	23168
MATEUS	15	19	33	62	83	201	564	8996	13021	22994
FELIPE	24	39	44	82	147	358	3278	10305	7015	21292
LUCIA	73	187	784	5817	6323	3289	1824	621	280	19198
BRUNO	15	20	25	40	79	255	3288	9593	5245	18560
TIAGO		17	23	32	75	260	6264	6549	4313	17533
JOSEFA	1036	1659	2426	2659	3077	2586	1906	1141	486	16976
JOANA	969	1151	1318	1646	2667	2522	2965	1999	1528	16765
ADRIANA			20	56	705	5858	6560	2855	681	16735
JULIANA	17	30	49	51	107	794	5911	6537	2815	16311
FERNANDO	86	220	481	1119	2287	2213	3368	3911	2450	16135
ROSA	830	1219	1861	2597	3528	3328	1640	773	327	16103
MARCELO		25	103	214	742	2504	5381	4557	2484	16010
CAMILA				25	60	230	3914	7499	3954	15682
EDUARDO	97	190	398	599	906	1460	2812	3695	5359	15516
PATRICIA			17	39	315	2308	6283	5262	1287	15511
ANDRE	45	82	104	172	453	2143	4853	4317	3270	15439
SAMUEL	20	27	50	120	245	629	2377	4841	7046	15355
LUIZA	1153	1714	2057	2128	2469	1585	1381	1208	1627	15322
FATIMA		57	499	5887	3240	2083	1665	934	842	15207
SEBASTIAO	708	1376	2226	2419	2737	2295	1712	1190	534	15197
DAVI	25	48	94	127	230	424	1824	4147	8269	15188
ALINE				31	111	675	5404	6650	2314	15185
LEONARDO	21	53	81	168	313	964	2861	7250	3359	15070
AMANDA				18	43	217	1655	7275	5642	14850
LUANA				15	56	152	1815	7477	5176	14691
ROBERTO	24	97	319	799	2519	3630	3676	2272	1096	14432
SANDRA			60	513	3059	5556	3663	1143	405	14399
LETICIA	42	80	92	82	106	140	426	3339	9849	14156
FABIO			29	127	558	2372	6321	3097	1644	14148
CARLA				54	305	1139	3755	4618	3935	13806
RICARDO	33	66	113	480	1632	3134	3713	3028	1592	13791
MARCIA			53	271	1454	4004	4827	2381	746	13736
LEANDRO	20	16	29	54	151	560	4104	6359	2317	13610
ANDERSON					63	320	2824	6579	3815	13601
FERNANDA		38	66	185	599	1254	3503	4486	3177	13308
DANIELE					56	1073	5215	4904	2017	13265
DIEGO					21	96	3817	5914	3276	13124
NATALIA	17	31	28	54	113	335	4248	6089	2194	13109
VICENTE	784	1425	1919	2318	2472	1641	1199	783	542	13083
TEREZA	611	2025	2213	2403	2337	1437	992	581	455	13054
LARISSA					19	93	769	5503	6521	12905
REGINA	164	209	431	1516	3593	3739	2050	818	285	12805
JESSICA					20	73	891	9433	2385	12802
MARCIO			29	104	536	3567	4761	2353	1344	12694
TEREZINHA	380	2611	2657	2694	2148	1119	598	216	101	12524
MARIANA	116	145	176	197	244	372	1545	3940	5756	12491
JOAQUIM	999	1381	1865	2033	1962	1351	1138	846	883	12458
BRUNA					34	89	1445	6733	4049	12350
ALEXANDRE	58	69	118	222	598	2511	3978	2938	1825	12317
RAQUEL	48	61	68	121	259	969	3855	4478	2282	12141
LUCIANA			38	94	357	2954	5365	2441	888	12137
SARA			45	65	153	306	1272	3744	6463	12048
VANESSA				22	75	307	2539	5185	3815	11943
ADRIANO	17	24	37	118	441	2245	5332	2581	956	11751
GUSTAVO	21	33	44	62	141	400	860	2067	8006	11634
VITOR	16		33	59	80	178	726	2899	7411	11402
JORGE	110	161	252	678	1435	1706	2627	2568	1551	11088
LUCIANO	19	84	307	937	1800	2603	2561	1737	875	10923
RENATA				31	107	933	4343	4247	1255	10916
RODRIGO			33	40	109	573	2358	4514	3233	10860
GUILHERME	33	60	62	96	146	175	490	1917	7842	10821
GERALDO	636	1288	1747	2109	2184	1288	763	476	224	10715
ISABEL	522	638	847	908	1494	1566	1742	1499	1468	10684
EMANUEL	133	237	373	498	661	951	1929	2646	3095	10523
ELIANE		16	139	575	1664	2902	3573	1338	293	10500
BEATRIZ	149	205	128	131	129	156	442	3612	5529	10481
