uf	53									
Nome	<1930	<1940	<1950	<1960	<1970	<1980	<1990	<2000	<2010	Total Geral
MARIA	2767	6993	16777	31776	34021	23127	11423	4266	15620	146770
JOSE	787	2682	6068	11011	13230	10010	5959	2283	1475	53505
ANA	245	500	1194	2308	4395	7235	8774	8367	16945	49963
JOAO	394	1095	2257	3946	4854	3725	3933	5395	12799	38398
ANTONIO	394	1322	3085	5586	6791	5987	3640	1190	744	28739
FRANCISCO	283	960	2456	4484	5852	5461	4070	1288	572	25426
PEDRO	125	353	753	1157	1393	1239	2414	4961	8952	21347
CARLOS	47	188	616	1852	4042	4091	4033	2378	3063	20310
PAULO	56	210	657	1719	3351	3548	4224	3279	2335	19379
LUCAS			32	53	93	153	1373	9723	7818	19245
GABRIEL		25	39	74	91	177	1019	5746	9860	17031
MARCOS		17	124	536	1941	3675	3612	3310	3126	16341
RAFAEL		26	48	59	107	636	5069	4525	3399	13869
LUIZ	87	293	760	1646	2172	1811	1888	1802	2493	12952
DANIEL		41	117	223	439	1370	3550	3188	3273	12201
FRANCISCA	277	596	1418	2139	2684	2522	1708	426	88	11858
BRUNO				28	98	668	3789	3868	2289	10740
EDUARDO		39	123	359	724	1562	2377	1938	3196	10318
LUIS	51	157	425	961	1671	1446	1567	1585	2428	10291
FELIPE			17	35	56	225	2152	4155	3465	10105
ANDRE		19	41	118	599	2339	3222	2052	1587	9977
GUILHERME		20	33	77	156	324	1243	2950	5156	9959
MARCELO			44	152	1120	3394	3007	1318	808	9843
GUSTAVO			22	54	142	750	1449	2390	4736	9543
RODRIGO				23	176	1658	3579	2480	1150	9066
MATEUS			17	20	33	79	339	3968	4363	8819
ANTONIA	195	427	900	1502	2143	1969	1187	290	85	8698
FERNANDA				33	176	1052	3195	2573	1660	8689
LEONARDO		16	29	80	231	1227	2947	2566	1554	8650
JULIANA			17	37	81	1171	3515	2561	1259	8641
AMANDA					16	192	1218	3798	3178	8402
RAIMUNDO	165	467	1024	1903	2082	1702	855	172	28	8398
PATRICIA				59	431	2884	3296	1321	264	8255
FERNANDO	25	79	205	515	933	1396	2504	1409	789	7855
ADRIANA				28	679	3350	2697	740	145	7639
JULIA	64	93	119	173	180	178	429	1329	5023	7588
LETICIA			20	29	68	241	705	2503	3896	7462
MARCIA			81	455	1989	2632	1794	363	94	7408
GABRIELA				15	27	236	1199	2937	2963	7377
RICARDO		19	84	372	952	2200	2233	912	577	7349
FABIO		18	29	97	423	2008	3276	997	483	7331
CAMILA					15	186	2150	3041	1856	7248
MARIANA	28	54	59	94	113	336	1641	2098	2738	7161
TIAGO					34	214	3125	2060	1665	7098
THIAGO						173	3143	1996	1723	7035
LUCIANA				43	306	2796	2894	680	199	6918
MATHEUS						43	239	3355	3233	6870
ALINE					64	598	2976	2379	826	6843
JESSICA						33	446	5200	979	6658
BRUNA						73	1094	3244	2194	6605
ALEXANDRE		20	48	169	685	2083	1554	1032	838	6429
SANDRA			93	502	1640	2513	1250	173	47	6218
VITOR			37	78	70	129	623	1796	3363	6096
LEANDRO				32	75	644	3065	1468	698	5982
LARISSA						128	845	2696	2202	5871
CLAUDIA			18	154	1488	2626	1128	284	83	5781
MARCIO			78	201	768	2307	1763	415	229	5761
BEATRIZ	23	35	78	125	175	280	358	1660	2995	5729
DIEGO						83	2556	2150	899	5688
MANOEL	166	409	788	1119	1219	995	544	183	86	5509
DAVI			41	96	211	253	513	763	3598	5475
NATALIA		17	38	49	59	158	1122	2500	1525	5468
VANESSA				15	72	619	2345	1793	622	5466
SAMUEL		15	38	74	164	306	692	1166	2978	5433
ROBERTO		77	210	562	1287	1514	1218	346	167	5381
RAQUEL		18	28	120	310	947	1815	1241	829	5308
DEBORA			15	42	233	632	1317	1741	1254	5234
VICTOR			15	30	51	111	606	1871	2525	5209
ANDERSON					141	1184	2066	1349	463	5203
RENATA				24	117	1408	2203	1076	351	5179
LUANA						133	1501	2052	1451	5137
RENATO		29	74	234	426	1206	1879	826	355	5029
VINICIUS					40	180	751	1706	2309	4986
EDSON	18	78	180	483	1231	1399	1038	391	149	4967
ISABELA					42	129	451	1462	2866	4950
SARA			20	44	128	250	694	1493	2277	4906
CAIO				21	29	98	436	1587	2659	4830
ELIANE			51	281	885	1810	1444	236	39	4746
VITORIA	15	15	48	50	54	51	63	995	3414	4705
RAIMUNDA	221	378	655	963	1107	868	435	55		4682
DANIELA					75	1124	1818	1126	485	4628
CLAUDIO		26	91	293	1030	1955	765	306	147	4613
SERGIO		58	152	468	1154	1407	847	363	149	4598
IGOR					19	89	915	1901	1597	4521
CRISTIANE					245	1732	1923	400	77	4377
RITA	82	242	443	810	1185	842	456	157	109	4326
SEBASTIAO	108	323	712	1040	1067	637	304	77	21	4289
JORGE	31	74	245	730	956	763	770	455	258	4282
CARLA				32	428	1117	1408	773	411	4169
JULIO	19	62	113	305	612	914	814	587	734	4160
LUCIANO			34	117	324	1777	1231	462	209	4154
SIMONE				56	508	1841	1422	254	25	4106
ALESSANDRA					74	1771	1356	599	269	4069
JAQUELINE					218	610	1693	1243	283	4047
FLAVIO		19	63	145	455	1206	1324	519	300	4031
ROGERIO			26	130	550	1491	1301	362	99	3959
ANDREIA					194	1570	1598	462	127	3951
GERALDO	94	261	540	974	1141	563	259	84	23	3939
FLAVIA				33	184	1221	1508	621	355	3922
ALEX				18	95	782	1443	1059	522	3919
