uf	32									
Nome	<1930	<1940	<1950	<1960	<1970	<1980	<1990	<2000	<2010	Total Geral
MARIA	4657	10408	21722	41552	40969	23015	8378	3631	14749	169081
JOSE	1634	4417	9583	19419	20432	12773	6634	3151	2365	80408
ANA	586	1136	1914	3933	5206	5682	6943	7582	17792	50774
JOAO	887	1995	3843	7192	7806	4296	4033	6428	13464	49944
ANTONIO	940	2203	4385	7632	7402	4864	2370	1077	818	31691
CARLOS	100	307	943	3150	5378	4981	4884	3438	5103	28284
PAULO	109	302	1024	3463	5488	5243	3904	3380	2900	25813
PEDRO	313	756	1417	2372	2531	1333	1436	2779	8497	21434
LUCAS		24	31	71	109	181	1628	10607	8520	21171
MARCOS		24	170	795	2949	4914	4762	3858	3689	21161
LUIZ	163	460	1158	3120	3783	2662	2287	2533	3682	19848
GABRIEL		44	81	112	154	170	1102	5424	11137	18224
SEBASTIAO	454	1187	2419	4067	3785	1780	598	205	71	14566
RAFAEL	31	47	87	105	166	455	4125	5508	3767	14291
DANIEL	44	116	321	611	919	948	2162	3370	4805	13296
MARCELO			44	130	1294	4334	4210	1773	910	12695
BRUNO		20	27	38	74	595	4137	5082	2639	12612
MATEUS	17	44	73	136	157	158	486	4154	6533	11758
LEONARDO		15	27	64	216	1428	3487	4238	2129	11604
RODRIGO				21	110	1899	4560	3200	1268	11058
FABIO			29	119	799	3179	4690	1412	751	10979
EDUARDO	41	85	151	338	624	1415	2353	2384	3490	10881
JULIANA		25		27	56	899	4677	3641	1484	10809
FELIPE				17	30	216	2528	4499	3296	10586
LUIS	70	196	491	1393	2010	1426	1200	1304	2283	10373
ADRIANA				28	692	4752	3503	994	205	10174
ANDRE		42	61	149	451	1460	3195	2558	1990	9906
GUSTAVO		33	30	50	102	577	1287	2544	5262	9885
FERNANDA				25	123	1235	4210	2748	1342	9683
TIAGO					31	158	4298	2994	2083	9564
PATRICIA				21	308	2589	3908	2181	401	9408
JORGE	77	277	836	2452	2440	1410	891	498	323	9204
GUILHERME	40	73	97	132	163	208	683	2110	5612	9118
JULIA	165	229	262	279	246	174	451	1791	5504	9101
ALINE					54	399	3592	3795	1253	9093
LEANDRO	20	44	62	58	98	849	4377	2622	959	9089
FRANCISCO	290	653	1067	2310	2237	1067	824	284	276	9008
AMANDA						125	855	4008	3985	8973
FERNANDO	34	118	256	632	881	1271	2940	2002	825	8959
LUCIANA			23	92	658	3725	3363	825	234	8920
MARCIA			76	445	2021	3325	2017	481	142	8507
LUZIA	207	662	1366	2468	2246	1071	361	63	27	8471
SANDRA			102	683	2198	3462	1600	237	86	8368
JESSICA					15	37	506	6257	1093	7908
LETICIA	15	18	23	27	63	291	1180	2730	3481	7828
CAMILA					17	196	2282	3490	1811	7796
ROBERTO	32	130	384	947	1965	2204	1363	497	252	7774
BRUNA						110	1683	3764	2201	7758
MARCIO			58	166	785	3207	2452	688	373	7729
GERALDO	195	645	1147	1951	2165	949	440	156	62	7710
MARIANA	49	78	108	120	115	213	1644	2641	2707	7675
MARLENE		182	631	2175	2525	1447	378	66		7404
THIAGO						182	3491	2070	1591	7334
LUCIANO		31	66	156	561	2960	2273	900	380	7327
VITOR	18	27	45	83	119	158	1178	2351	3318	7297
EDSON	19	141	376	886	1506	1947	1488	641	278	7282
RENATO		46	118	359	847	1874	2510	1045	436	7235
SONIA		48	357	1495	2695	1922	553	62	33	7165
ANDERSON				26	191	1890	2725	1594	640	7066
DIEGO						69	2681	2812	1399	6961
ALEXANDRE	25	37	46	116	477	1750	1942	1400	1086	6879
LARISSA						122	982	2975	2795	6874
GABRIELA					21	226	1272	2600	2684	6803
DAVI	23	66	113	230	325	291	512	870	4354	6784
RICARDO	35	52	99	309	714	1447	1704	1303	1114	6777
LUANA						73	1448	3212	2042	6775
MANOEL	340	717	1163	1649	1446	764	386	182	128	6775
RENATA				31	139	1623	2917	1391	504	6605
ANGELA	43	58	200	1491	2075	1518	763	301	114	6563
SERGIO		37	163	807	1818	1764	1184	470	286	6529
ROGERIO			55	297	1150	2515	1802	519	183	6521
JULIO	55	120	189	441	832	1035	1696	1043	1084	6495
ROSANGELA				750	1975	2224	1186	245	46	6426
VERA		68	532	1766	2214	1331	437	66		6414
MATHEUS				20	24	54	211	2456	3405	6170
RITA	135	225	364	1600	2196	985	418	128	109	6160
SIMONE				40	379	2534	2612	488	83	6136
ELIANE			29	267	1077	2111	2017	529	105	6135
VINICIUS				15	24	212	1528	2475	1854	6108
CLAUDIA			20	122	1267	2710	1288	408	124	5939
NATALIA		47	68	59	52	90	956	2665	1983	5920
CARLA				38	380	1186	2070	1464	729	5867
VANESSA					55	457	2704	1812	793	5821
REGINA	71	173	488	1407	1798	1139	485	113	36	5710
DEBORA			18	60	203	512	1448	1990	1408	5639
IGOR						52	778	3011	1758	5599
BEATRIZ	23	36	56	103	184	355	498	1548	2782	5585
SARA				48	141	215	646	1675	2817	5542
RAQUEL		20	48	137	330	865	1678	1417	1005	5500
ELIAS	51	175	401	893	1181	1057	847	541	345	5491
ANDREIA					303	2207	2136	666	144	5456
LUCIA	113	244	471	1282	1790	1062	359	68	44	5433
JAQUELINE					275	906	2141	1637	472	5431
ADRIANO		25	33	52	161	1397	2382	920	378	5348
SAMUEL	19	63	124	247	422	438	730	943	2337	5323
RONALDO		30	128	465	1102	1667	1315	422	167	5296
DOUGLAS				18	71	339	1444	2376	909	5157
CLAUDIO	16	41	121	359	976	2037	942	375	254	5121
ROBSON			33	260	824	1299	1537	843	323	5119
FABIANA					84	1379	2493	869	284	5109
