uf	52									
Nome	<1930	<1940	<1950	<1960	<1970	<1980	<1990	<2000	<2010	Total Geral
MARIA	6897	17718	37414	66625	75555	47929	20678	8308	33228	314352
JOSE	3000	8787	17126	27494	32740	23081	14624	7487	5942	140281
JOAO	1937	5223	9495	14728	16647	10191	9020	13504	30319	111064
ANA	1138	2169	3641	5499	7683	10229	16953	19123	39826	106261
ANTONIO	1540	4081	8460	12945	14381	10695	7025	2917	1957	64001
CARLOS	54	180	813	2909	7484	7443	7938	7071	11125	45017
PAULO	117	332	1053	3182	6309	7192	9865	10038	6340	44428
PEDRO	505	1322	2154	3251	3536	2373	3659	8607	16949	42356
MARCOS		29	205	726	3141	7540	9300	11261	9683	41885
LUCAS		33	62	102	181	393	3021	19482	16432	39706
FRANCISCO	658	1837	3831	5861	7408	6713	5331	1986	896	34521
GABRIEL	54	110	173	207	214	271	1168	8856	21446	32499
LUIZ	179	567	1355	3340	4735	3760	3502	4492	7774	29704
SEBASTIAO	790	2310	4611	6314	6336	3166	1300	419	226	25472
RAFAEL	22	100	154	163	240	700	6670	9844	6491	24384
DANIEL	28	96	269	474	965	2032	5403	7003	7128	23398
MATEUS		19	43	49	81	133	496	8571	11795	21187
GUSTAVO		29	35	66	133	622	1983	6099	12130	21097
LUIS	100	314	765	1849	3054	2533	2628	3265	6157	20665
BRUNO			29	44	106	589	4912	9228	5390	20298
EDUARDO	43	97	229	523	851	2143	4005	4734	7096	19721
MARCELO		15	46	170	1347	5413	6369	3621	2083	19064
FERNANDO	23	69	193	472	1265	3877	6971	4149	1885	18904
GUILHERME	19	62	92	106	148	337	1459	6128	10200	18551
AMANDA					38	178	1264	8403	8319	18202
DIVINO	74	443	1527	3981	6086	3769	1523	558	219	18180
DIVINA	155	775	2338	4698	5460	3085	1015	257	53	17836
RODRIGO			16	58	197	2299	7025	5321	2176	17092
JULIANA	26	57	68	91	157	1735	7036	5329	2320	16819
FERNANDA				40	178	1914	6095	5250	3044	16521
LEONARDO		42	54	133	338	1708	4478	5749	3729	16231
LEANDRO		18	38	47	165	2217	7744	3950	1864	16043
FABIO		24	52	179	818	3826	7262	2527	1298	15986
TIAGO		23	22	28	55	280	6263	5164	3571	15406
PATRICIA				53	419	3766	6516	3925	703	15382
ALINE				15	70	668	5971	6534	2119	15377
ANDRE	28	64	95	202	778	2809	5059	3543	2771	15349
FELIPE	20	34	42	64	77	169	1129	5422	7928	14885
APARECIDA	87	387	1243	2840	5281	3426	1225	272	82	14843
VITOR	21	47	98	123	132	210	939	3684	9566	14820
ADRIANA			21	46	786	5904	5609	1964	379	14709
MANOEL	600	1518	2444	2898	2989	2036	1152	466	334	14437
JESSICA					27	65	709	11463	2149	14413
FRANCISCA	518	1098	1978	2509	3020	2634	1872	544	146	14319
MARCIA		20	115	550	3035	5596	3654	973	274	14217
BRUNA						119	1723	7475	4761	14078
LETICIA		30	40	44	94	444	2122	5523	5776	14073
RICARDO		49	85	307	1025	3051	4812	2937	1458	13724
CAMILA			16	19	36	224	3408	6090	3869	13662
MARCIO		16	79	304	1352	5405	4165	1280	774	13375
LUCIANA		24	40	83	440	4821	5874	1477	457	13216
ANTONIA	456	1090	1927	2520	2836	2209	1602	402	156	13198
LUZIA	406	1177	2251	2914	3094	2034	876	249	103	13104
GABRIELA		23	26		21	195	1102	5000	6725	13092
JOANA	458	991	1500	2507	3341	2383	1062	363	313	12918
MARIANA	92	223	302	339	297	352	1848	3862	5586	12901
JOAQUIM	720	1546	2399	2900	2563	1339	655	310	423	12855
MATHEUS					22	56	243	5517	6956	12794
SANDRA			73	598	3020	5408	2922	461	170	12652
GERALDO	599	1385	2426	2725	2873	1441	670	316	160	12595
DIEGO					15	130	4576	5431	2158	12310
VITORIA	27	90	118	102	90	133	104	1895	9428	11987
THIAGO					23	255	5039	3703	2945	11965
EDSON	27	129	520	1316	2819	3279	2202	1089	531	11912
RAIMUNDO	262	746	1446	2139	2708	2357	1566	358	83	11665
JULIA	145	265	378	392	377	299	551	1574	7559	11540
ELIANE			33	302	1750	4557	3802	870	182	11496
VANESSA					77	830	4007	4373	2017	11304
SAMUEL	16	22	55	141	288	599	1544	2841	5634	11140
LARISSA					27	205	1366	4961	4532	11091
SARA			28	61	200	441	1369	3529	5354	10982
RENATO		28	114	246	602	2088	4433	2440	951	10902
ROBERTO	21	71	311	812	2397	3280	2590	885	495	10862
SIMONE			16	65	1036	5362	3435	672	120	10706
NATALIA	29	68	104	134	130	150	1246	4858	3971	10690
DANIELA					61	1183	3841	3997	1471	10553
RENATA				20	124	1697	4544	3090	993	10468
LUANA					23	111	1858	4998	3450	10440
JULIO	42	140	228	486	1156	1899	2252	2074	2031	10308
ROGERIO			26	118	558	3011	4478	1496	457	10144
DEBORA				45	256	924	2330	3810	2754	10119
ALEXANDRE	41	77	98	122	465	2118	2456	2536	2104	10017
VICTOR		19	15	34	49	135	862	3124	5779	10017
IGOR					17	120	1032	5010	3760	9939
LUCIANO		27	53	162	565	3962	3147	1362	661	9939
SONIA		73	400	1858	3506	2979	870	135	51	9872
DANILO				39	81	286	3418	4076	1923	9823
ISABELA					36	114	397	2880	6243	9670
VALDIVINO	70	417	1185	2364	2759	1764	713	199	70	9541
GEOVANA					70	218	273	1482	7453	9496
CLAUDIO	19	49	147	382	1416	4124	1926	816	522	9401
CLAUDIA			33	97	1320	4369	2452	874	249	9394
RAQUEL		31	65	166	488	1765	3105	2370	1365	9355
BEATRIZ	18	41	88	154	286	592	1012	2825	4263	9279
MARLENE		123	623	1855	3256	2421	830	117	31	9256
JAQUELINE					252	700	3306	3823	1049	9130
ALEX				21	110	1310	3148	2967	1467	9023
SERGIO		45	159	502	1582	3060	2084	946	593	8971
CRISTIANE				15	248	2836	4423	1142	268	8932
WESLEY				23	192	1714	3432	2334	1198	8893
