uf	21									
Nome	<1930	<1940	<1950	<1960	<1970	<1980	<1990	<2000	<2010	Total Geral
MARIA	10931	26957	57024	102579	114802	96243	73770	43043	49340	574689
JOSE	3904	10887	22809	37518	47145	44634	38936	24870	16888	247591
ANTONIO	2243	5784	11962	19245	26703	31305	33386	23947	15798	170373
FRANCISCO	1665	4352	9987	15845	21110	24479	28219	22318	14317	142292
RAIMUNDO	2824	6455	12677	18283	21461	19829	17887	10002	3919	113337
JOAO	1856	4671	8097	11883	13279	11687	11998	13613	29720	106804
ANA	518	908	1570	3236	7365	13202	17388	22034	39971	106192
FRANCISCA	1343	2894	6317	8751	10470	11789	13015	9793	5124	69496
ANTONIA	1193	2533	4713	6786	8423	9951	10657	7500	4760	56516
CARLOS	71	276	698	1947	4713	8135	9965	9743	19897	55445
RAIMUNDA	2411	4695	7650	9434	9520	8005	6411	3119	994	52239
LUIS	528	1432	2680	4563	6202	6691	6902	7624	12995	49617
PEDRO	834	1898	3245	4197	4331	3736	4090	5293	15897	43521
PAULO	153	393	705	1416	2773	4783	7402	8988	10359	36972
MARCOS	57	113	186	315	983	3160	6524	10988	14172	36498
MANOEL	1155	2803	4469	5583	6077	5662	5023	3096	1599	35467
LUCAS		65	87	110	145	227	844	11585	15632	28695
DANIEL	34	97	207	312	659	1246	3401	6988	8057	21001
GABRIEL	27	64	92	125	157	200	646	4145	13977	19433
DOMINGOS	456	1107	2115	3123	3479	3263	3012	2021	819	19395
MATEUS		38	30	64	89	133	342	6617	11725	19038
RAFAEL		40	63	100	140	296	4031	8255	5314	18239
JOANA	891	1633	2267	2787	2379	1877	1723	1166	1107	15830
FERNANDO	30	109	198	411	763	1390	3896	5505	3093	15395
EDUARDO	42	108	190	297	391	739	1771	4498	6801	14837
BRUNO		21		28	43	205	2147	5899	5846	14189
SEBASTIAO	339	883	1681	2158	2505	2274	2017	1415	672	13944
ADRIANA	19	25	27	38	132	1349	5698	4783	1687	13758
LEANDRO		27	39	49	68	279	3836	6459	2837	13594
FABIO			22	53	314	1737	5510	3527	2163	13326
FERNANDA				37	130	668	3232	5318	3677	13062
ROSA	472	865	1392	2292	2876	2655	1490	683	274	12999
MARCELO		25	42	98	273	1319	3517	4661	3023	12958
