uf	31									
Nome	<1930	<1940	<1950	<1960	<1970	<1980	<1990	<2000	<2010	Total Geral
MARIA	45654	102516	200206	320979	295176	147248	57088	30774	108009	1307650
JOSE	17804	47400	92004	149707	148689	88389	46958	22338	12899	626188
ANA	5518	9659	15932	25523	31302	35170	52771	65736	117605	359216
JOAO	7286	17881	31161	48646	49172	27161	28117	39366	81513	330303
ANTONIO	6863	18466	37080	58629	52566	30398	15735	6898	4681	231316
CARLOS	411	1369	5135	17349	31325	26842	27624	19752	24249	154056
PAULO	770	2716	7245	18638	28011	27662	26821	25016	15487	152366
PEDRO	2053	4936	8095	11642	11859	6856	9583	26664	53589	135277
GERALDO	3541	10003	19733	30339	35408	16424	7075	2518	827	125868
LUCAS	49	173	279	521	715	1302	14180	58373	50140	125732
MARCOS	81	282	1461	5163	13925	23703	25878	28324	23410	122227
LUIZ	845	2553	5914	14689	19739	14551	14999	19723	26394	119407
GABRIEL	169	349	594	820	745	744	4698	28864	63546	100529
SEBASTIAO	3980	10585	19506	25793	22112	9825	3941	1411	489	97642
RAFAEL	78	490	768	848	1081	1938	25094	34800	22273	87370
LUIS	424	1293	3185	8513	12761	9801	10970	14984	20991	82922
DANIEL	119	406	952	2116	3458	8056	20994	21716	19932	77749
MARCELO	35	141	473	1754	8096	22586	21330	12034	6163	72612
BRUNO	29	57	92	156	440	2797	22755	30581	15691	72598
MATEUS	36	101	206	307	449	813	4754	29190	35213	71069
FRANCISCO	2503	6120	9857	15405	15660	8126	5400	2267	1750	67088
GUSTAVO	61	108	143	241	501	3082	9065	21318	32122	66641
FERNANDA		34	54	131	742	6899	25554	20000	9478	62892
GUILHERME	90	235	380	567	1078	2182	9356	22646	25642	62176
RODRIGO		57	77	226	1261	11835	25665	16099	6548	61768
LEONARDO	30	124	239	675	2017	9090	17424	20009	11879	61487
EDUARDO	123	358	1096	2976	5542	10526	13773	11428	14178	60000
JULIANA	51	97	140	252	967	10179	27911	13961	5415	58973
FERNANDO	189	567	1568	4086	6713	9857	18857	11859	4583	58279
ADRIANA		44	56	286	5316	27520	17825	5906	1156	58109
PATRICIA	15	28	70	439	3281	16732	22273	12229	2335	57402
ANDRE	79	197	321	806	3270	9986	18884	13930	9095	56568
FELIPE	38	97	125	157	225	763	11153	25044	17997	55599
TIAGO	29	69	81	109	155	976	23820	16946	12514	54699
MARCIO	45	252	1261	4217	11201	18553	12487	4344	2053	54413
ALINE	26	36	39	96	326	2988	21686	22211	6752	54160
VITOR	185	850	1133	1396	1578	1683	3842	13882	29466	54015
MARCIA	25	122	945	3912	15075	19089	10726	3307	812	54013
LEANDRO	37	81	121	220	642	5004	25836	15887	6089	53917
CAMILA	40	56	81	95	155	747	13143	23471	13803	51591
LUCIANA	31	72	156	335	2276	20781	20415	5448	1516	51030
APARECIDA	575	2020	4219	10524	18711	10312	3644	804	195	51004
FABIO	55	275	430	1249	2972	9148	21450	9776	4749	50104
AMANDA	18	22	34	43	79	816	7822	24551	16701	50086
JULIA	716	1271	1432	1566	1339	1070	2596	8521	30904	49415
