uf	50									
Nome	<1930	<1940	<1950	<1960	<1970	<1980	<1990	<2000	<2010	Total Geral
MARIA	2181	5400	11372	22394	24335	14189	5500	2814	12464	100649
JOSE	1103	3025	5947	10597	12543	8638	5053	3299	2914	53119
JOAO	668	1713	3023	4888	5665	3606	3362	4905	12372	40202
ANA	313	590	979	1689	2673	4106	6636	7106	11403	35495
ANTONIO	629	1659	3206	5136	5772	4114	2138	1129	880	24663
PAULO	60	228	557	1530	3048	3936	3693	3173	2253	18478
CARLOS	47	143	441	1460	3069	2668	2833	2499	3719	16879
LUIZ	109	287	735	1905	2719	2080	2138	2593	3707	16273
PEDRO	294	577	1054	1526	1803	1192	1052	1920	5713	15131
LUCAS			21	33	52	158	902	6973	6953	15092
MARCOS		29	76	304	1382	3400	3390	2710	2511	13802
LUIS	64	208	433	1223	1942	1706	1608	2334	3370	12888
GABRIEL	24	38	46	89	93	119	510	3689	8176	12784
RAFAEL		22	57	73	114	215	2630	4699	2829	10639
FRANCISCO	294	770	1286	2169	2384	1468	842	333	252	9798
BRUNO		20	32	36	30	92	1490	4108	2948	8756
DANIEL	18	70	146	354	616	1052	1660	2105	2417	8438
MARCELO			16	68	452	2413	3156	1513	753	8371
RODRIGO				15	45	817	3507	2769	1161	8314
EDUARDO	22	63	174	330	467	817	1256	1730	3324	8183
MATEUS				36	42	75	193	2744	4921	8011
FERNANDO	25	66	162	384	575	886	2282	2248	1193	7821
ADRIANA			16	25	244	2555	3187	1162	278	7467
MARCIA			45	233	1381	3112	2029	501	95	7396
ANDERSON				20	76	921	3190	2262	772	7241
FABIO			22	67	165	1369	3447	1483	609	7162
SEBASTIAO	193	565	1117	1790	1813	997	412	183	74	7144
APARECIDA	79	283	736	1654	2112	1443	575	170	49	7101
ANDRE	15	59	79	120	297	1127	2564	1730	1107	7098
JULIANA		37	43	48	85	578	2838	2265	1157	7051
FERNANDA				21	65	348	1979	2688	1889	6990
FELIPE	15	42	62	63	92	115	624	2268	3683	6964
JESSICA						23	523	5445	953	6944
GUSTAVO			16	16	44	267	654	1795	4104	6896
LEANDRO		21	32	47	86	506	2850	2312	1031	6885
ALINE					27	187	2012	3329	1195	6750
GUILHERME	25	37	102	98	89	137	460	1623	4173	6744
SANDRA			38	352	1473	2890	1554	337	97	6741
PATRICIA				16	88	1091	2889	2218	426	6728
CAMILA						66	1257	3258	2056	6637
EDSON		63	217	590	1325	1808	1541	734	351	6629
MARCIO			33	110	506	2432	2288	736	341	6446
BRUNA						24	721	3468	2167	6380
LEONARDO		29	75	89	172	333	740	2397	2297	6132
AMANDA						77	437	2403	3124	6041
LETICIA			21	20	27	90	717	2493	2653	6021
ROBERTO	17	77	237	596	1400	1659	1188	477	240	5891
TIAGO					16	69	2139	2164	1485	5873
DIEGO						64	2001	2772	1010	5847
VITOR	19	55	75	108	133	140	326	1120	3768	5744
ELIANE			20	158	673	2000	2051	619	144	5665
VANESSA					16	328	2382	2075	803	5604
JORGE	38	151	302	885	1417	949	797	618	421	5578
CRISTIANE					112	1694	2530	867	169	5372
LUANA						27	556	2618	2077	5278
LUCIANA			31	38	161	1860	2380	610	192	5272
SONIA		28	166	932	1899	1515	496	122	40	5198
ROSANGELA				197	1037	2271	1320	317	55	5197
JULIA	94	191	235	275	234	172	206	529	3221	5157
SERGIO	17	53	155	467	1107	1572	996	494	277	5138
RICARDO		38	66	173	442	1310	1706	868	458	5061
ALEXANDRE	17	38	69	77	201	993	1477	1300	853	5025
JULIO	61	130	203	285	484	831	1230	986	788	4998
MATHEUS						22	93	1921	2959	4995
ANTONIA	226	480	864	1129	1143	673	284	86	59	4944
THIAGO						67	2017	1603	1206	4893
ROSA	133	243	495	812	958	1498	540	150	54	4883
MARIO	71	228	397	835	1037	883	718	416	238	4823
ADRIANO		29	33	44	111	967	2205	1009	423	4821
LARISSA						33	380	2061	2324	4798
JAQUELINE					112	401	1563	2036	621	4733
GABRIELA			16		23	90	477	1728	2338	4672
MANOEL	254	647	861	995	874	508	275	128	122	4664
MARIANA	26	43	64	81	79	121	721	1528	1916	4579
ALEX					40	503	1658	1602	746	4549
VITORIA	21	39	56	64	55	43	27	506	3688	4499
LUZIA	95	243	508	866	1144	898	479	151	32	4416
BEATRIZ		55	80	124	159	210	297	1200	2286	4411
CLAUDIO	25	52	128	393	812	1493	800	458	248	4409
RENATO		25	88	203	320	617	1473	1138	487	4351
APARECIDO	17	69	320	907	1361	1020	487	127	35	4343
LUCIANO		28	47	90	164	1495	1419	712	380	4335
ANDREIA					61	1282	2099	693	154	4289
VINICIUS					16	53	309	1430	2463	4271
VERA		21	151	919	1669	1052	349	60	21	4242
NATALIA	19	25	39	52	55	65	597	1875	1483	4210
JEFERSON				19	89	420	1304	1769	554	4155
RENATA				21	59	526	1571	1336	539	4052
CLAUDIA		15	21	60	459	1567	1292	473	137	4024
ELAINE				60	223	1168	1613	714	244	4022
SUELI			88	560	1368	1314	511	116	29	3986
RONALDO			48	148	602	1140	1140	651	220	3949
DOUGLAS					57	222	863	1944	837	3923
NELSON	35	193	466	833	964	704	409	216	102	3922
FATIMA			24	740	1510	989	438	148	59	3908
RAMAO	77	200	422	770	956	833	421	155	62	3896
MARLENE		40	266	894	1303	973	315	84	20	3895
WILSON	23	88	249	694	939	894	534	295	129	3845
DEBORA					96	433	1067	1357	850	3803
DAIANE						30	1148	2046	573	3797
