uf	51									
Nome	<1930	<1940	<1950	<1960	<1970	<1980	<1990	<2000	<2010	Total Geral
MARIA	2042	5830	12788	25026	30703	21536	9569	4013	14477	125984
JOSE	1055	3536	7342	13232	17112	13084	7977	4009	3631	70978
JOAO	717	2043	3837	6567	7863	5523	4305	5802	14951	51608
ANA	416	993	1597	2539	3366	4164	6948	8307	15894	44224
ANTONIO	644	1864	3899	6612	7707	5845	3526	1433	1106	32636
PAULO	51	181	533	1471	3352	4566	4399	3760	3032	21345
CARLOS	40	108	383	1309	3159	3163	3385	2970	5061	19578
LUIZ	94	289	843	2190	3253	2693	2459	2972	4777	19570
PEDRO	256	655	1263	2056	2518	1678	1366	2006	6724	18522
LUCAS		17	21	40	82	174	929	7578	9418	18259
MARCOS		18	42	229	1273	4246	4700	4071	3577	18156
GABRIEL	17	44	76	122	136	131	402	3271	10084	14283
FRANCISCO	259	733	1487	2648	3164	2448	1866	652	364	13621
LUIS	52	152	393	1045	1786	1551	1577	1770	3051	11377
RAFAEL		31	49	100	123	249	2759	4890	3143	11344
MANOEL	348	923	1521	2039	2213	1616	874	349	208	10091
SEBASTIAO	219	740	1510	2142	2531	1616	728	242	96	9824
EDUARDO	17	64	128	273	408	777	1291	2465	4296	9719
DANIEL	26	87	179	373	736	1013	1825	2540	2921	9700
BRUNO			26	48	52	117	1391	4416	3520	9570
MARCELO			21	57	415	2279	3734	2108	912	9526
MATEUS			19	32	55	103	239	2766	6130	9344
GUSTAVO			20	22	56	230	615	2035	5393	8371
FERNANDO	19	36	99	283	464	938	2763	2552	1187	8341
RODRIGO				23	59	802	3120	3037	1266	8307
MARCIA			24	146	1157	3320	2850	593	174	8264
ADRIANA		15		34	201	2284	3920	1415	254	8123
LEANDRO		16	27	54	89	706	3497	2614	1059	8062
ANDRE	19	53	87	149	272	901	2454	2296	1786	8017
FABIO			34	72	181	1234	3893	1766	679	7859
ALINE			15	21	33	183	1886	3943	1761	7842
FELIPE	16	23	39	32	44	81	633	2690	4252	7810
VITOR		31	80	112	131	148	355	1502	5390	7749
PATRICIA					93	907	3144	2925	550	7619
AMANDA						101	423	2722	4312	7558
ANDERSON				19	78	775	3025	2686	921	7504
EDSON		49	144	554	1445	2139	1844	771	360	7306
JULIANA	17	36	31	51	78	597	2636	2332	1494	7272
MARCIO			19	99	530	2652	2737	808	380	7225
FERNANDA					46	437	2207	2717	1814	7221
SANDRA			19	221	1254	2975	2208	391	121	7189
GUILHERME		38	54	101	109	117	370	1522	4877	7188
CAMILA			17		19	84	1088	3241	2673	7122
BENEDITO	211	542	1088	1573	1685	1146	586	200	58	7089
TIAGO				18	34	96	2123	2828	1960	7059
BRUNA						48	661	3621	2594	6924
ELIANE				141	609	2303	2862	763	155	6833
JESSICA						36	486	5211	956	6689
LUCIANA			22	37	167	1815	3280	925	264	6510
LEONARDO		27	64	94	168	358	974	2494	2294	6473
LETICIA				15	43	106	755	2647	2834	6400
DIEGO						59	1887	3006	1309	6261
VANESSA					19	215	1816	2807	1315	6172
APARECIDA	52	198	521	1162	1674	1445	689	210	60	6011
ANTONIA	220	479	887	1201	1329	945	589	155	82	5887
LUANA						48	673	2784	2351	5856
ROBERTO	19	43	141	436	1270	1810	1324	547	243	5833
LUZIA	82	291	642	1171	1371	1272	691	183	65	5768
JULIA	73	143	232	201	207	159	226	623	3783	5647
ADRIANO		15	23	29	91	930	2532	1459	474	5553
RICARDO		35	63	126	324	1054	1691	1349	856	5498
MATHEUS						27	102	1898	3468	5495
CRISTIANE					79	1218	2848	993	196	5334
ROSANGELA				118	851	2264	1641	397	56	5327
SERGIO		49	122	427	1070	1564	1224	474	304	5234
JAQUELINE					96	305	1511	2464	842	5218
ANDREIA				16	60	1146	2686	1106	194	5208
THIAGO						77	1702	1857	1571	5207
ALEXANDRE	15	49	56	102	187	833	1505	1431	961	5139
ALEX					38	533	1736	1943	869	5119
MARIANA	39	52	86	140	152	146	592	1387	2496	5090
JULIO	38	120	166	327	480	820	1159	966	962	5038
JORGE	28	108	269	762	1110	841	794	647	442	5001
VITORIA		35	60	56	61	39	40	587	4088	4966
LUCIANO			38	75	196	1421	1847	918	407	4902
FRANCISCA	158	374	734	981	1091	815	511	157	55	4876
MARLENE		21	204	838	1706	1458	496	84	43	4850
DAIANE						39	1457	2682	617	4795
RAIMUNDO	94	294	601	877	1260	877	609	135	31	4778
SONIA		15	89	571	1610	1647	688	119	35	4774
GABRIELA			19		17	64	323	1530	2796	4749
DEBORA				16	89	427	1214	1789	1191	4726
CLAUDIO		29	91	328	882	1709	1005	399	235	4678
SIMONE				20	189	1178	2420	739	131	4677
DOUGLAS					35	194	1060	2404	969	4662
JEFERSON					65	305	1237	2167	781	4555
IGOR						34	284	2062	2167	4547
ROSA	105	230	499	778	1002	1322	407	93	57	4493
ROGERIO				62	297	1134	1826	847	240	4406
VERA		18	130	759	1519	1352	460	83	22	4343
RENATO		23	102	199	368	614	1418	1108	506	4338
MARIO	38	158	345	637	938	902	663	363	269	4313
ELAINE				54	246	977	1754	977	303	4311
TEREZINHA	28	287	702	1364	1195	531	142	31	15	4295
LARISSA						48	357	1725	2077	4207
NATALIA		30	63	74	73	70	390	1496	1985	4181
JOAQUIM	187	451	735	975	820	465	224	111	203	4171
JOANA	152	312	519	728	859	669	451	221	249	4160
LAURA	34	64	133	187	236	746	1262	561	934	4157
VICTOR		15	20	20	35	52	239	1087	2647	4115
