uf	15									
Nomes	<1930	<1940	<1950	<1960	<1970	<1980	<1990	<2000	<2010	Total Geral
MARIA	7808	19971	46942	88954	103483	87215	55754	26787	35977	472891
JOSE	1972	6352	15318	28344	38102	38159	28308	17817	13859	188231
ANTONIO	1379	3914	8973	16435	22921	25609	22768	14608	9595	126202
ANA	693	1245	2673	5980	10711	16399	17692	20076	38062	113531
JOAO	1345	3802	7694	13124	15497	13830	12796	13199	28760	110047
RAIMUNDO	2078	5581	11765	17765	20319	16953	11094	4798	1884	92237
FRANCISCO	1031	2977	6597	11622	15024	15028	13833	7573	4091	77776
CARLOS	116	497	1593	4097	7234	8493	9718	8555	14824	55127
PAULO	140	394	1060	3689	7117	8834	10166	10430	11790	53620
MANOEL	1356	3449	6805	10028	10727	9336	6361	3272	1978	53312
PEDRO	694	1662	3355	5376	6000	5307	4803	5252	12985	45434
MARCOS	30	84	209	454	1981	5947	8630	11024	14290	42649
RAIMUNDA	2039	4143	7101	8734	7977	6083	3712	1388	384	41561
LUCAS	18	39	78	127	184	412	1202	13311	21958	37329
ANTONIA	690	1410	2847	4510	6207	7301	7195	4598	2524	37282
LUIZ	225	704	1538	3371	5100	5034	4477	4310	6979	31738
FRANCISCA	799	1745	3610	4824	5612	5545	4953	2564	981	30633
DANIEL	30	124	306	594	1239	2251	4841	7812	10050	27247
LUIS	161	474	1036	2471	4157	4420	4003	3997	6250	26969
GABRIEL	27	55	116	212	285	440	1093	6217	17785	26230
RAFAEL		23	58	113	202	538	5352	10367	7283	23936
MATEUS		31	57	93	127	326	594	6609	15425	23262
BENEDITO	472	1347	2978	4044	4309	3849	2730	1854	1031	22614
MARCELO		16	41	110	609	3926	6453	5947	3824	20926
FELIPE	30	56	123	153	183	397	1621	7304	10315	20182
EDUARDO	50	142	340	688	1045	1555	2305	4582	9373	20080
BRUNO	16	28	30	67	122	508	4018	8126	7138	20053
FABIO		16	43	92	331	2845	8388	4950	3258	19923
RODRIGO		23	41	74	148	709	4276	8362	5359	18992
FERNANDO	52	193	472	1005	1614	2218	4008	4798	3832	18192
ANDERSON				30	96	1329	5615	6724	4094	17888
ANDRE	39	124	240	387	683	2496	4508	4789	4506	17772
JORGE	72	248	707	2220	3649	3405	3050	2411	1721	17483
TIAGO		35	53	83	107	331	3503	6275	6990	17377
MARCIO		26	32	89	664	5311	5987	3121	1952	17182
ADRIANA	20	20	36	58	187	3084	6835	4939	1795	16974
MARCIA		21	40	185	1605	5610	5595	2550	1171	16777
AMANDA				28	66	282	1650	6335	8085	16446
PATRICIA			16	46	242	2740	5687	5560	2016	16307
JESSICA					41	123	1053	11275	3565	16057
ALINE				21	75	553	3703	6473	5141	15966
FERNANDA		29	47	91	188	848	3234	5656	5823	15916
LEANDRO	16	46	85	115	168	572	4163	6682	4044	15891
MANUEL	421	1064	2033	2784	3201	2711	1846	922	646	15628
SANDRA			77	1270	3199	4668	3929	1401	812	15356
SEBASTIAO	304	926	1906	2797	3342	2627	1814	924	460	15100
DIEGO				21	53	156	4531	6010	4262	15033
EDSON		74	215	751	1869	3700	4027	2453	1502	14591
CAMILA	15	19	28	43	54	228	2145	6124	5881	14537
JOANA	602	1080	1808	2494	2510	2151	1754	1051	933	14383
LEONARDO	19	58	122	206	370	747	2062	6336	4399	14319
VANESSA				24	61	407	3369	5812	4643	14316
JULIANA	42	82	109	137	166	453	1944	5061	6250	14244
ADRIANO	19	48	40	97	171	1192	5084	4459	3017	14127
VITORIA	57	78	127	137	134	159	233	1632	11522	14079
ROSA	353	692	1295	2719	3150	3181	1486	529	324	13729
LUANA				20	44	212	1813	6342	5226	13657
CARLA				40	243	1553	3809	4072	3820	13537
ALEX				33	153	1632	3579	4463	3601	13461
ROBERTO	32	96	364	984	2495	3202	3015	1911	1127	13226
GUSTAVO		15	29	56	107	336	951	2387	9264	13145
BRUNA					47	164	1718	5750	5128	12807
VITOR	22	62	103	134	134	224	783	2653	8470	12585
ALEXANDRE	36	105	146	235	456	2099	3033	3228	3070	12408
LETICIA		22	35	50	89	275	999	3795	7064	12329
RONALDO		17	111	506	1815	2782	3106	2783	1189	12309
DANIELE					26	581	3534	4391	3489	12021
SAMUEL	24	54	105	282	486	938	1783	2641	5700	12013
RAQUEL	22	31	89	169	384	1263	3134	3718	3082	11892
LARISSA					16	106	906	4898	5833	11759
LUCIANA	16	38	49	80	186	1849	4459	2951	2044	11672
RICARDO	27	77	139	328	800	1948	2104	2886	3301	11610
ELIANE				80	541	2301	4466	2932	1262	11582
MIGUEL	194	514	1182	1711	1978	1809	1420	972	1719	11499
