uf	25									
Nome	<1930	<1940	<1950	<1960	<1970	<1980	<1990	<2000	<2010	Total Geral
MARIA	12258	24760	45297	72472	83503	65577	45544	29355	44260	423026
JOSE	5453	10980	20101	27844	37100	35652	33013	28431	24403	222977
JOAO	2414	4193	6568	8448	9790	7940	8701	8264	17481	73799
ANTONIO	2563	4769	8767	11652	12725	10149	6913	3981	2756	64275
FRANCISCO	1592	3170	6517	9916	12782	10666	9423	5769	3284	63119
ANA	828	963	1376	2255	4976	8842	12803	11446	19165	62654
JOSEFA	2362	3995	6231	6396	6185	4389	2841	1715	708	34822
SEVERINO	1574	2778	5337	6968	7460	5728	3129	1254	426	34654
FRANCISCA	1497	2562	4647	5153	5619	4345	3394	1907	821	29945
PEDRO	852	1282	1903	2153	2545	2052	2152	2984	8999	24922
CARLOS	49	104	379	1573	3100	3564	4355	3739	6217	23080
MANOEL	1709	2559	3610	3663	3446	2687	1924	1372	850	21820
SEVERINA	1978	2643	4223	4544	3795	2360	1000	239	56	20838
PAULO	115	406	928	1784	3112	3629	4081	3053	2719	19827
LUIZ	435	932	1675	2408	2728	2107	2031	1898	3444	17658
LUCAS		20	26	34	34	93	475	7140	9687	17509
MARCOS		35	246	973	2543	3721	3112	2683	3161	16474
RITA	1025	1837	2515	2094	2034	1633	1407	1079	669	14293
LUIS	291	594	1145	1559	1885	1539	1453	1499	2713	12678
DANIEL	24	54	97	226	455	894	2759	4209	3830	12548
GABRIEL	34	62	84	78	103	101	304	2393	9025	12184
CICERO	252	685	964	1382	1864	2389	2577	1304	609	12026
ANTONIA	990	1545	2254	2141	1906	1235	663	306	162	11202
RAFAEL	32	71	91	141	133	176	2046	4922	3481	11093
SEBASTIAO	611	1055	1721	1888	2004	1569	1172	612	296	10928
GERALDO	162	690	1744	2886	2622	1373	766	379	202	10824
ADRIANA					366	3992	4261	1753	399	10771
MATEUS						34	160	3738	6510	10442
DAMIAO	34	238	724	711	1850	2799	2207	1224	457	10244
MANUEL	729	1159	1610	1636	1631	1265	952	595	466	10043
FELIPE					34	104	1316	4919	3482	9855
EDUARDO	30	58	155	258	465	968	1834	2534	3246	9548
FABIO			16	53	366	1669	4007	2125	1105	9341
JULIANA		18	21	20	39	407	3090	3596	1542	8733
ALINE		18	21	21	45	229	2499	4121	1611	8565
AMANDA					16	119	1136	4369	2860	8500
BRUNO					26	194	1775	3706	2716	8417
MARCELO			55	199	738	1690	2701	1825	1059	8267
LUCIANA				39	281	3048	3132	1233	448	8181
LUCIANO		17	47	150	615	2897	2477	1307	608	8118
JOANA	706	813	886	918	1230	1100	1152	679	592	8076
LUZIA	619	965	1439	1490	1220	941	700	435	180	7989
JESSICA						20	403	6012	1501	7936
LEANDRO					56	214	2662	3742	1189	7863
FERNANDO	46	120	347	890	1216	1065	1409	1753	976	7822
ANDERSON					24	191	1531	3592	2392	7730
ANDRE	26	34	45	62	185	1075	2433	2146	1716	7722
LEONARDO		18	34	107	290	657	1769	3303	1521	7699
ADRIANO				29	173	1815	3440	1589	617	7663
VITORIA		26	67	50	68	249	403	1371	5412	7646
PATRICIA					196	1782	3133	1973	482	7566
TIAGO					15	97	2602	2807	1790	7311
TEREZINHA	184	1433	1878	1734	1100	516	203	91	26	7165
ELIANE			27	338	1229	2232	1996	1021	216	7059
LUANA						37	1130	3648	2184	6999
CAMILA						42	1086	3112	2708	6948
RAIMUNDO	306	582	1112	1383	1511	1036	605	268	138	6941
RICARDO		22	45	232	631	1399	1920	1661	1017	6927
ROBERTO		23	159	625	1515	1676	1506	872	484	6860
FERNANDA				26	115	334	1632	2870	1875	6852
VANESSA						99	1561	2972	2187	6819
EDSON	15	52	144	353	746	1267	1789	1503	923	6792
DIEGO						21	1764	3061	1874	6720
RODRIGO				18	31	360	2065	2644	1396	6514
FABIANA					50	962	3323	1623	405	6363
LUCIA	39	70	283	1857	2070	1102	610	195	83	6309
MARCIA			27	104	666	1715	2233	1215	346	6306
ALEXANDRE		20	30	72	363	1294	2143	1476	852	6250
LARISSA						41	474	2426	3188	6129
SANDRA			16	134	1289	2513	1689	357	118	6116
DAMIANA	52	146	480	445	1069	1698	1228	653	179	5950
DANIELE						245	2034	2370	1093	5742
MARIANA	75	73	69	60	53	96	600	1638	3056	5720
LETICIA		46	72	50	65	87	315	1366	3680	5681
RAFAELA						32	1072	2942	1596	5642
THIAGO						81	2139	2020	1362	5602
GUSTAVO				29	57	211	590	1178	3441	5506
JAQUELINE					173	602	1850	2162	703	5490
ROSA	388	543	790	908	1070	1039	461	165	80	5444
JANAINA					17	826	2284	1837	452	5416
RONALDO			85	331	1096	1500	1295	768	281	5356
RENATA					34	362	1713	2300	940	5349
VERA			165	976	1990	1506	540	124	31	5332
FLAVIO			40	119	415	1127	1677	1173	698	5249
MARCIO			17	34	191	1229	2116	1055	568	5210
BRUNA						15	563	2286	2296	5160
SIMONE				30	230	1225	2675	829	170	5159
CICERA	108	367	564	601	838	974	1013	476	143	5084
JULIA	360	371	306	214	174	136	224	551	2682	5018
SAMUEL	19	23	42	74	117	234	465	1056	2973	5003
ALEX				15	59	460	1303	1952	1204	4993
NATALIA	34	53	55	39	26	45	698	2381	1659	4990
JOSINALDO				104	783	1812	1389	673	217	4978
DANILO					33	80	970	2252	1620	4955
RAQUEL	21	26	46	76	141	449	1358	1662	1173	4952
REGINALDO		46	186	582	1232	1490	874	359	145	4914
ERICA					29	264	1173	1893	1471	4830
EDNALDO		25	90	416	1081	1422	1050	508	189	4781
CARLA					92	469	1396	1618	1184	4759
JOSENILDO				85	607	1525	1499	766	259	4741
