uf	26									
Nome	<1930	<1940	<1950	<1960	<1970	<1980	<1990	<2000	<2010	Total Geral
MARIA	22159	47775	89392	140507	161796	130307	89874	63750	92974	838534
JOSE	9648	22114	43940	64045	83531	83159	75408	63238	51306	496389
JOAO	3892	7263	11399	14828	16281	13390	13955	17813	38523	137344
ANA	1137	1586	2695	5000	12163	24184	28184	22976	33760	131685
ANTONIO	3608	7573	13912	18460	20374	16845	12320	7725	5646	106463
JOSEFA	4104	7910	13118	14943	12621	8539	4939	2458	914	69546
CARLOS	125	356	1595	5317	8351	10235	13023	10868	15007	64877
SEVERINO	2367	5445	11484	14645	13897	9122	4608	1590	541	63699
PAULO	254	824	2534	5557	8320	10147	11714	9938	7927	57215
LUIZ	935	2412	4659	6609	7842	6560	6623	7262	10552	53454
PEDRO	1160	2037	3255	3854	4656	4064	4833	8650	20311	52820
FRANCISCO	1033	2413	5129	7877	9904	8666	7550	5060	3232	50864
MANOEL	2877	5327	8171	8797	8420	6390	4457	2828	1686	48953
SEVERINA	2749	5650	10512	11696	8717	4631	1736	413	75	46179
MARCOS	21	72	619	2771	6664	9774	8485	7247	7924	43577
LUCAS	20	31	59	91	175	493	1666	15605	24387	42527
CICERO	301	960	2251	4964	7336	9158	8134	5043	2241	40388
GABRIEL	47	99	166	219	248	336	1035	6618	20893	29661
LUIS	472	1171	2258	3287	3959	3562	3733	4146	6269	28857
DANIEL	58	176	444	1040	1893	3064	5223	7750	8462	28110
EDUARDO	51	164	402	904	1622	3527	5472	7493	8384	28019
RAFAEL	42	101	157	227	351	567	7334	11659	7159	27597
ADRIANA		18	23	78	807	10174	10894	4196	1009	27199
ANDRE	43	84	102	245	1382	5484	7690	5413	4088	24531
BRUNO		16	18	55	213	989	5801	10143	7045	24280
FABIO		20	43	174	1027	4991	10248	4872	2633	24008
FERNANDO	119	429	1160	3026	3793	3736	4210	4096	2387	22956
JULIANA	21	36	41	63	105	1278	8526	8878	3967	22915
MARCELO		44	165	608	2398	5343	6715	4580	2713	22566
ANDERSON				37	113	1045	6622	9171	5273	22261
EDSON	42	197	604	1448	2885	4546	5896	4223	2301	22142
FELIPE		16	24	44	141	491	3778	9829	7362	21685
MATEUS				15	30	80	263	5697	15213	21298
AMANDA			15	21	48	414	3957	10438	6241	21134
CICERA	122	486	1324	3008	4166	4638	3916	2242	797	20699
TIAGO		26	31	44	84	310	6586	7500	5778	20359
ANTONIA	1585	2448	3758	3691	3350	2368	1646	908	579	20333
SANDRA			77	634	4616	8460	4916	1080	417	20200
RICARDO	23	61	207	996	2369	4793	5209	3954	2531	20143
FRANCISCA	810	1532	2952	3684	3800	2956	2370	1302	585	19991
ALINE	39	77	100	124	159	592	4603	9412	4744	19850
PATRICIA			18	58	707	5217	8053	4593	1137	19783
JESSICA					23	105	1454	14313	3660	19555
LUCIANO	18	60	182	586	1897	6816	5445	2956	1576	19536
LEONARDO	18	46	113	202	413	1981	5533	7367	3848	19521
LEANDRO	18	17	28	49	150	663	7190	8382	2930	19427
LUCIANA		16	44	210	1105	6747	7092	2823	1295	19332
ALEXANDRE	42	71	127	525	1796	5415	5546	3348	2226	19096
ELIANE		29	276	1689	4274	5425	4489	2113	560	18855
ROBERTO	30	105	534	1785	3910	4391	4098	2344	1261	18458
SEBASTIAO	970	1936	3267	3398	3326	2476	1590	854	434	18251
ADRIANO		33	28	89	376	3802	7906	3897	1698	17829
MARCIA		34	158	654	2761	5515	5374	2523	773	17792
MANUEL	925	1757	2726	3125	2984	2281	1672	1034	692	17196
VITORIA	45	51	95	106	116	114	179	2417	13955	17078
FERNANDA		42	97	215	547	1530	4518	5897	4033	16879
RODRIGO			27	51	118	1076	5652	6315	3346	16585
CARLA				44	391	1797	5422	5192	3523	16369
CAMILA	16		16	19	26	137	2609	6901	6579	16303
VANESSA				17	37	305	5064	6510	4316	16249
RENATA				29	151	1513	6244	6012	2293	16242
RITA	535	1604	2302	2177	2502	2386	2062	1637	1007	16212
FABIANA				21	161	3094	8630	3024	933	15863
DIEGO					23	109	4039	7288	4353	15812
LETICIA	44	105	157	194	216	236	797	3788	9983	15520
FLAVIO		38	110	338	1182	3647	4831	3080	2016	15242
LUANA					34	110	1900	7338	5648	15030
JULIA	696	822	765	578	416	327	576	1734	9026	14940
BRUNA					22	123	2037	7012	5740	14934
SERGIO	43	64	215	699	2764	4684	3367	1931	1134	14901
GUSTAVO		36	61	114	362	1158	2374	3641	7071	14817
RAFAELA					23	132	3871	7494	3165	14685
REGINALDO	19	257	910	2256	3503	3882	2190	893	351	14261
NATALIA	51	94	100	83	72	207	3386	6699	3545	14237
SIMONE			33	116	898	4870	6085	1819	365	14186
MARCIO		20	80	170	724	3559	5424	2521	1521	14019
JORGE	128	269	545	1883	3084	2545	2389	1883	1210	13936
JAQUELINE				25	483	1735	4675	5093	1857	13868
EDVALDO	32	251	758	1528	2957	3583	2685	1384	596	13774
JOANA	771	1004	1200	1224	1508	1597	2314	1937	2162	13717
MARIANA	140	147	207	174	175	413	2167	4201	6055	13679
GUILHERME	28	73	84	144	202	289	894	2914	8893	13521
CLAUDIO	44	152	361	972	2346	3949	2836	1741	1071	13472
AMARO	621	1533	2846	3054	2393	1640	852	357	144	13440
CLAUDIA			52	158	1826	4676	3840	1999	780	13331
GERALDO	169	866	1996	2836	3157	1967	1152	593	277	13013
LARISSA						80	581	4684	7562	12907
VITOR		27	36	49	71	148	629	2881	9061	12902
JANAINA				26	74	2378	5337	3965	1108	12888
GABRIELA				16	33	291	1750	4897	5886	12873
DEBORA	25	49	74	151	314	727	2457	4616	4356	12769
RONALDO		34	154	535	1871	2954	3669	2477	993	12687
ERICA				19	96	907	4162	4479	3005	12668
CRISTIANE				37	869	4527	5046	1726	446	12651
THIAGO				15	44	200	4459	4342	3563	12623
QUITERIA	743	1086	1683	2122	2453	2227	1265	516	201	12296
ALEX				53	138	831	2904	4901	3447	12274
JEFERSON			23	49	172	452	2054	6129	3392	12271
RENATO	31	76	185	298	504	1074	3769	4214	2038	12189
DANIELE					32	684	4434	4775	2234	12159
