uf	22									
Nome	<1930	<1940	<1950	<1960	<1970	<1980	<1990	<2000	<2010	Total Geral
MARIA	7461	17529	35814	61345	68651	58775	44600	30231	38733	363139
FRANCISCO	1616	4348	10210	15450	20434	22544	25638	20909	14772	135921
JOSE	2324	5643	11439	17815	22300	21099	18075	13457	10090	122242
ANTONIO	1628	3824	7721	12469	16652	18011	17044	12722	8602	98673
FRANCISCA	1447	3437	7130	9174	11020	11248	11288	7570	3972	66286
JOAO	1302	2637	4512	6547	7480	6061	6469	8153	15393	58554
ANA	558	835	1280	1935	3573	6413	8779	11309	17469	52151
RAIMUNDO	1377	3117	5698	7889	9123	7824	6302	3284	1171	45785
ANTONIA	888	1794	3089	4486	6086	6731	6628	4390	2683	36775
PEDRO	568	1208	1844	2327	2495	1981	2073	3114	7035	22645
LUIS	379	919	1700	2591	3092	2867	2728	2991	4951	22218
RAIMUNDA	1471	2491	3784	4030	3979	3131	2124	840	235	22085
CARLOS	22	96	256	815	2240	3229	3689	3807	7544	21698
MANOEL	933	1804	2825	3486	3749	3059	2341	1414	793	20404
MARCOS	58	76	91	201	671	1934	3320	5092	6429	17872
PAULO	50	157	345	860	1916	3183	3697	3626	3207	17041
LUCAS		20	22	33	40	73	651	6035	5615	12489
LUIZ	183	617	1036	1560	1847	1543	1389	1440	2429	12044
DANIEL	15	54	85	130	213	553	2365	3233	2858	9506
ROSA	354	689	1018	1577	1901	1700	795	330	139	8503
JOANA	610	963	1178	1276	1178	907	953	707	601	8373
RAFAEL	20	31	41	49	72	112	2060	3622	2185	8192
GABRIEL	28	49	72	102	89	65	233	1762	5292	7692
MATEUS		26	30	42	66	73	114	2669	4554	7574
RITA	146	426	837	1226	1493	1171	840	713	620	7472
DOMINGOS	200	463	865	1154	1355	1225	1151	670	302	7385
JOAQUIM	389	626	989	1047	1144	744	582	398	343	6262
FERNANDO	20	57	88	207	403	846	1802	1940	893	6256
LUZIA	218	445	725	950	1062	935	893	656	341	6225
ISABEL	365	624	797	905	926	756	721	582	504	6180
LEONARDO		20	34	62	104	314	1365	2854	1363	6116
BRUNO					15	45	858	2897	2183	5998
MARCELO		15	20	55	170	855	2230	1636	1000	5981
MANUEL	268	491	773	989	1071	924	722	422	296	5956
JOSEFA	454	784	1081	1066	1004	769	429	220	79	5886
SEBASTIAO	148	346	671	910	983	969	915	579	282	5803
EDUARDO	25	45	87	166	188	416	1046	1709	2110	5792
LUIZA	306	638	868	959	890	670	479	417	427	5654
ADRIANA					97	1478	2274	1342	413	5604
FELIPE	20	46	48	66	61	74	510	2365	2391	5581
TIAGO		28	39	25	36	53	1266	1984	1940	5371
JULIANA	19	32	40	37	32	214	1435	2141	1406	5356
LUANA						31	813	2819	1635	5298
AMANDA						40	434	2356	2387	5217
FABIO				23	88	760	2364	1291	678	5204
ANDRE	17	39	41	71	82	256	1212	1801	1620	5139
FERNANDA				15	91	349	1536	1912	1133	5036
MARCIA				32	315	1158	1958	1195	364	5022
TERESINHA	84	681	820	1156	1087	593	392	139	46	4998
CAMILA	16	16				32	577	2183	2131	4955
SAMUEL				31	38	95	742	1531	2457	4894
PATRICIA					83	690	1876	1683	520	4852
TERESA	195	633	874	917	897	532	413	233	148	4842
CICERO	121	235	293	422	702	1014	1072	620	324	4803
LUCIANA		22	21	28	96	984	2139	1029	456	4775
ALINE					27	140	1316	2072	1164	4719
GUSTAVO				24	39	148	341	1068	3056	4676
VANESSA						79	784	2181	1611	4655
SANDRA				63	575	1555	1722	487	180	4582
VITORIA	48	94	101	111	136	96	82	669	3222	4559
RICARDO	23	39	50	108	196	539	1255	1416	919	4545
LEANDRO					29	120	1243	2165	903	4460
LETICIA				15	21	43	231	1382	2749	4441
DIEGO							1009	1922	1499	4430
ELIANE				100	428	1318	1781	603	156	4386
MARIANA	75	112	129	171	143	129	421	1328	1840	4348
EVA	106	209	394	602	822	777	719	478	240	4347
JESSICA							246	3069	881	4196
MIGUEL	128	286	483	591	594	527	454	406	718	4187
BRUNA							371	2151	1662	4184
CARLA					77	365	1027	1350	1334	4153
ANDERSON						102	884	1855	1239	4080
REGINALDO			26	114	515	1659	1168	393	148	4023
MARCIO					97	895	1537	828	617	3974
VITOR		28	40	35	33	47	129	588	3052	3952
LUCIA	24	52	94	1125	1323	708	393	145	82	3946
LUCIANO		21	27	62	124	635	1232	1147	641	3889
RODRIGO			18	17	35	97	675	1714	1297	3853
JULIO	80	175	216	272	321	547	802	651	711	3775
GUILHERME	16	17	31	48	45	57	163	684	2672	3733
CONCEICAO	16	40	159	511	963	860	655	339	128	3671
ADRIANO				17	50	460	1543	1055	541	3666
SARA					36	85	386	1001	2131	3639
ERICA						67	531	1386	1617	3601
JORGE	36	54	102	222	452	516	709	896	592	3579
CRISTIANE					49	900	1577	696	199	3421
EDSON		32	82	165	402	701	950	649	412	3393
RENATO			43	88	244	571	1110	895	439	3390
JAQUELINE					88	246	1001	1433	606	3374
DANILO					19	52	731	1485	1084	3371
RONALDO				43	171	693	1052	1058	300	3317
NATALIA		23	38	46	61	115	693	1430	909	3315
DAVI		26	36	80	126	166	392	722	1749	3297
LARISSA						44	361	1392	1473	3270
FLAVIO				51	160	648	991	797	622	3269
BENEDITO	146	288	520	625	641	463	305	175	85	3248
EDILSON			30	99	440	1037	1022	392	208	3228
MAURICIO		24	44	49	136	509	993	987	485	3227
JANAINA						376	1136	1220	474	3206
REGINA	58	61	95	288	760	886	599	307	121	3175
