uf	41									
Nome	<1930	<1940	<1950	<1960	<1970	<1980	<1990	<2000	<2010	Total Geral
MARIA	12392	30834	62774	102664	95958	47592	17173	11388	51400	432175
JOSE	4828	14208	29618	49947	56877	34864	16816	10082	7975	225215
JOAO	3445	10023	18663	28371	30636	18653	14927	20971	49741	195430
ANA	2202	4220	6765	9964	12190	14443	25536	33389	45875	154584
ANTONIO	2974	8766	17706	27121	26570	16677	7199	3325	2399	112737
LUIZ	552	1861	4624	11704	16269	11131	10093	12741	14358	83333
PAULO	330	1215	2995	7800	15834	18503	15323	11478	6684	80162
LUCAS	16	59	77	154	242	523	4581	34765	31451	71868
PEDRO	1409	3926	7291	10701	10585	5697	4057	6844	19930	70440
CARLOS	215	903	2394	6733	13590	11356	11803	9470	11324	67788
MARCOS	31	95	360	1479	7865	18745	16331	11343	7753	64002
GABRIEL	95	237	335	386	397	419	1896	16045	39162	58972
LUIS	300	863	2349	6303	9958	7751	7176	9151	10508	54359
RAFAEL	48	115	261	307	421	1680	15780	19106	12640	50358
EDUARDO	145	504	796	1290	1829	3455	7064	11175	16987	43245
MARCELO		47	65	216	2587	13124	14663	7664	3198	41564
BRUNO	36	127	226	220	220	387	7606	19712	11936	40470
MATEUS	17	53	101	141	202	390	1035	12897	23991	38827
MARCIA		32	142	937	7777	16887	10307	2231	409	38722
GUSTAVO	23	68	62	121	185	919	3196	9760	23647	37981
RODRIGO			26	56	214	4139	17272	12205	3782	37694
GUILHERME	91	167	228	279	314	622	3965	13911	17624	37201
FELIPE	28	68	106	121	134	373	4226	14979	16282	36317
ANDRE	93	223	358	518	1099	4446	11945	10590	6579	35851
DANIEL	75	331	731	1613	3037	4698	7784	8790	8335	35394
FERNANDO	74	251	525	971	1732	4035	13436	9990	4029	35043
BRUNA					22	108	4428	19995	9347	33900
LEANDRO		32	43	74	207	3803	15698	9821	3400	33078
JULIANA	21	47	64	87	177	3574	14406	10032	4424	32832
LEONARDO	64	234	410	513	590	1135	3121	12508	14119	32694
FERNANDA			16	46	147	2085	10972	12145	7239	32650
SANDRA		19	169	1800	7592	13847	7330	1538	339	32634
ANDERSON				44	380	5502	14208	9646	2767	32547
PATRICIA				60	482	6440	13232	10222	1771	32207
ADRIANA			26	78	1165	13387	12695	4095	676	32122
AMANDA	19	28	24	23	43	290	2605	14036	14739	31807
ALINE	28	41	82	73	115	764	8895	16276	5400	31674
MARCIO		18	92	406	2460	12882	11316	2657	961	30792
TIAGO			23	35	60	311	11742	11616	6694	30481
TEREZINHA	230	2497	5399	8886	8521	3604	883	161	23	30204
EDSON	26	165	528	2500	7136	9365	6495	2817	1010	30042
FABIO		26	49	149	770	6039	14188	6293	2438	29952
JESSICA					25	95	2637	23216	3862	29835
CAMILA		28	34	32	47	361	6144	14432	8401	29479
ELIANE			101	1126	4244	10941	9869	2548	386	29215
