uf	33									
Nome	<1930	<1940	<1950	<1960	<1970	<1980	<1990	<2000	<2010	Total Geral
MARIA	32516	69834	127007	189005	144216	65183	28041	17720	78499	752021
JOSE	8376	23819	47995	77397	73522	41035	22990	11733	7409	314276
ANA	1845	3198	9619	21384	38108	54488	44396	41739	82302	297079
JOAO	3604	9223	16892	25265	25875	15503	16199	27044	69336	208941
CARLOS	796	2881	11269	28996	39438	36160	31960	20804	18710	191014
PAULO	885	3106	12566	32936	35381	26386	20970	15694	10873	158797
ANTONIO	4216	11044	22058	34106	32036	20829	11823	5122	3720	144954
LUIZ	973	3124	9174	21790	25646	19117	16699	15786	15947	128256
JORGE	1069	4564	13044	32301	28765	15982	10380	6007	3349	115461
MARCOS	78	303	1328	6605	22525	27816	20108	19168	14594	112525
PEDRO	1073	2809	5343	8134	8353	6210	10249	18862	40703	101736
LUCAS	26	65	143	222	428	778	4463	48455	45410	99990
GABRIEL	81	239	398	581	700	1278	6853	32879	52945	95954
LUIS	471	1532	4696	13242	17820	14311	12097	12458	13405	90032
MARCELO	32	103	447	1669	14802	39738	18435	8499	5269	88994
RAFAEL	72	180	286	572	895	4762	35770	27447	15739	85723
MARCIA	34	141	905	5984	27055	26299	8508	2157	871	71954
LEONARDO	36	119	204	551	1629	10499	26622	21658	10375	71693
BRUNO	27	61	101	250	706	4916	31767	22295	10323	70446
RODRIGO	29	77	126	275	876	10738	32497	18368	7450	70436
FRANCISCO	1848	4779	8926	15019	16087	10493	7522	2782	1612	69068
DANIEL	143	536	1147	2159	3817	6520	16030	17832	20145	68329
FELIPE	46	91	139	304	668	3155	20122	27602	16016	68143
ANDRE	57	166	359	1204	5961	25097	17718	10074	6420	67056
JULIANA	36	76	113	200	463	4537	23069	23479	10742	62715
ALEXANDRE	101	226	446	1615	7637	28432	12536	6437	3965	61395
FABIO	39	136	253	817	3797	20150	22784	6869	3976	58821
ADRIANA	28	41	110	299	5481	33128	14042	3223	868	57220
SERGIO	124	886	4291	11482	17831	11130	5785	3165	1586	56280
EDUARDO	247	620	1404	3555	6425	12128	13104	9000	9467	55950
FERNANDA	96	233	291	599	1640	9106	22903	13540	7329	55737
PATRICIA		33	83	516	3529	24292	18378	6838	1673	55342
ROBERTO	302	1528	4761	9599	15302	10791	7201	3208	1465	54157
