uf	24									
Nome	<1930	<1940	<1950	<1960	<1970	<1980	<1990	<2000	<2010	Total Geral
MARIA	9754	18021	35287	55308	67079	54168	40029	24297	37997	341940
JOSE	3243	6611	12879	18594	26072	24463	22894	17585	13894	146235
FRANCISCO	2267	4428	10221	17033	24300	22471	20966	12281	6490	120457
JOAO	1819	2873	4893	6904	12091	8817	9508	9359	16099	72363
ANA	637	811	1170	2206	5703	8493	12231	11777	17120	60148
FRANCISCA	2275	3665	7521	10267	12669	9986	7608	3618	1212	58821
ANTONIO	1619	2836	5747	7555	9631	8169	6845	4454	3136	49992
PEDRO	698	1040	1514	1692	1932	1520	1954	3677	10347	24374
MANOEL	1414	2149	3438	3609	3662	2689	1999	1118	758	20836
LUIZ	549	994	1658	2469	3193	2619	2397	2394	4031	20304
CARLOS	18	81	338	1476	2983	3560	4137	3171	4508	20272
PAULO	122	381	724	1427	2556	3260	4147	3885	3082	19584
ANTONIA	735	1168	2098	2728	3691	3365	2556	1517	811	18669
MARCOS		15	100	542	1904	3494	3225	2889	3410	15579
LUCAS	15	16	23	29	46	111	419	5136	8299	14094
RITA	677	1372	1958	2078	2398	1981	1680	986	601	13731
RAIMUNDO	503	1091	1940	2424	3036	2098	1325	547	230	13194
JOSEFA	822	1405	2311	2350	2411	1631	964	567	252	12713
LUIS	270	487	841	1244	1560	1337	1237	1352	2297	10625
SEVERINO	669	949	1603	1971	2096	1346	717	295	121	9767
DANIEL	17	44	96	155	362	674	2289	3326	2694	9657
GABRIEL	32	56	94	92	101	109	336	1947	6016	8783
FELIPE		21	16	27	41	114	1109	4229	3197	8754
RAFAEL	21	31	65	78	102	133	2189	3888	2172	8679
SEBASTIAO	455	736	1275	1450	1550	1294	841	430	202	8233
RAIMUNDA	575	972	1526	1576	1742	991	482	136	41	8041
JOANA	565	632	797	912	1661	1283	980	550	442	7822
MATEUS						32	160	3157	4440	7789
ADRIANA				15	221	2845	2906	1121	223	7331
FABIO				45	288	1342	3060	1514	925	7174
JESSICA						21	368	5319	1422	7130
ANDERSON					33	329	1789	2906	2050	7107
MARCELO			37	89	523	1457	2281	1689	923	6999
JULIANA			15	26	41	311	2351	2966	1250	6960
FERNANDA				20	66	267	1543	3050	1916	6862
DAMIAO	30	200	844	544	1024	1678	1581	718	229	6848
BRUNO				18	33	217	1836	2997	1680	6781
GERALDO	319	700	1228	1549	1429	711	437	224	146	6743
VITORIA	19	31	57	59	109	489	365	1121	4406	6656
ALINE					28	175	2210	3051	1172	6636
TEREZINHA	224	1414	1706	1576	1038	404	165	75		6602
FERNANDO	31	82	204	515	728	704	1312	1849	1159	6584
LUZIA	411	659	960	981	1028	815	828	530	295	6507
AMANDA						143	899	3300	2138	6480
EDUARDO	29	48	129	211	411	744	1130	1588	2083	6373
ANDRE	18	31	32	59	187	801	1996	1806	1421	6351
MANUEL	393	611	957	1059	1132	815	619	330	288	6204
LUANA						61	1168	3349	1583	6161
SEVERINA	864	1039	1300	1215	987	464	173	59		6101
LEONARDO			30	52	120	379	1549	2539	1186	5855
PATRICIA				15	166	1416	2391	1428	356	5772
CICERO	407	757	645	665	872	941	784	394	254	5719
TIAGO					17	87	2270	2007	1299	5680
RICARDO		16	29	171	607	1312	1630	1231	647	5643
EDSON		34	111	308	626	1116	1542	1159	673	5569
MARCIA			19	147	742	1485	1860	990	302	5545
LETICIA	30	44	79	49	52	49	136	1141	3887	5467
RODRIGO					29	289	1870	2195	969	5352
LEANDRO					30	147	1977	2312	861	5327
CARLA					125	643	1734	1645	1117	5264
JULIA	277	257	254	139	139	103	244	771	3020	5204
ALEXANDRE		19	28	71	311	1176	1745	1156	640	5146
LARISSA						79	665	2252	2082	5078
ROBERTO		25	148	439	1153	1282	1110	557	355	5069
ADRIANO				26	136	1266	2292	975	361	5056
LUCIANA				28	164	1581	2155	812	310	5050
DIEGO						53	1670	2276	961	4960
MARCIO			19	51	341	1384	1826	857	482	4960
CAMILA						44	1058	2204	1609	4915
VANESSA					22	120	1312	2169	1267	4890
SANDRA			17	152	1008	2073	1211	252	82	4795
LUCIANO		24	66	213	594	1611	1344	617	301	4770
FLAVIO			33	128	358	1099	1578	952	617	4765
MARIANA	37	37	43	46	66	95	649	1638	1954	4565
DEBORA				36	78	237	738	1750	1720	4559
JEFERSON					46	167	818	2275	1251	4557
LUCIA	27	51	242	1211	1705	756	341	120	57	4510
JULIO	82	120	108	186	302	436	892	968	1394	4488
BRUNA						34	570	2181	1511	4296
RENATA					32	289	1384	1861	718	4284
DAMIANA	24	124	575	381	783	1097	880	346	73	4283
GUSTAVO				34	86	315	652	1093	2091	4271
JANAINA					19	813	1951	1207	280	4270
ERICA					18	213	1113	1822	1085	4251
JORGE	50	104	161	512	850	619	741	721	432	4190
RAFAELA						27	930	2281	919	4157
ELIANE			25	184	626	1195	1369	586	118	4103
THIAGO						73	1845	1238	936	4092
DANIELE					19	191	1578	1624	678	4090
VITOR				19	20	46	231	967	2734	4017
VERA			145	714	1566	1089	352	80	20	3966
SAMUEL		19	40	61	114	222	521	910	2070	3957
LUIZA	440	508	599	443	380	243	271	405	663	3952
SARA				22	64	144	508	1065	2112	3915
FABIANA					41	516	2027	1012	315	3911
NATALIA	26	30	25	22	22	41	544	1779	1331	3820
MIGUEL	178	277	416	444	474	330	274	294	1118	3805
MATHEUS						22	92	1599	2036	3749
RENATO		24	65	119	181	401	1188	1214	555	3747
PAULA	18	40	79	130	247	427	1028	1098	605	3672
