uf	11									
Nome	<1930	<1940	<1950	<1960	<1970	<1980	<1990	<2000	<2010	Total Geral
MARIA	1059	3239	7404	15380	19199	13179	5167	2017	5935	72579
JOSE	618	1977	4200	7428	9849	6996	3618	1702	1598	37986
JOAO	335	923	1809	3173	4074	2578	1838	2225	6411	23366
ANA	127	350	545	1005	1530	1914	2976	4133	7554	20134
ANTONIO	320	972	1911	3286	4071	2870	1577	668	577	16252
FRANCISCO	204	544	1157	2034	2847	2140	1640	645	383	11594
PAULO	19	96	274	714	1751	2182	1858	1802	1706	10402
LUCAS				18	33	64	366	4007	5402	9890
CARLOS	19	55	171	578	1555	1543	1548	1355	2701	9525
MARCOS			24	108	580	1877	2594	2002	1956	9141
PEDRO	123	392	625	1044	1245	805	605	907	3092	8838
LUIZ	63	151	371	898	1393	1092	855	983	1849	7655
GABRIEL			36	48	44	56	195	1513	4894	6786
MATEUS			16	24	16	69	137	1668	4119	6049
RAIMUNDO	126	313	689	1098	1398	994	546	170	46	5380
DANIEL	18	44	106	283	527	671	1002	1119	1528	5298
RAFAEL			24	40	58	97	1007	2467	1560	5253
BRUNO					22	60	715	2388	1821	5006
TIAGO					18	43	1253	2123	1547	4984
SEBASTIAO	129	403	784	1189	1281	678	285	97	37	4883
EDUARDO		26	52	110	193	267	546	1103	2465	4762
FRANCISCA	146	318	613	893	1099	854	547	167	41	4678
MARCELO				23	135	861	1761	1229	489	4498
LEANDRO				20	38	219	1863	1662	565	4367
MANOEL	158	419	720	977	917	603	303	130	95	4322
ADRIANA					63	894	2233	956	162	4308
ANDERSON					35	316	1577	1707	625	4260
FABIO				29	81	553	2041	1088	421	4213
ALINE						82	830	2027	1170	4109
ANDRE		16	23	45	82	336	1320	1348	856	4026
RODRIGO					15	201	1096	1772	882	3966
LUIS	27	71	172	405	666	533	460	579	1015	3928
CAMILA						23	464	1726	1691	3904
MARCIA				30	343	1361	1603	400	93	3830
PATRICIA					31	333	1489	1603	374	3830
GUSTAVO				17	23	67	231	790	2623	3751
FERNANDO		25	49	147	187	318	1037	1285	682	3730
FELIPE				21	26	41	275	1292	2051	3706
AMANDA						42	200	1341	2117	3700
VITOR			24	35	55	55	139	528	2833	3669
JESSICA							181	2800	667	3648
EDSON		17	86	228	630	989	1007	470	188	3615
VANESSA						57	843	1859	829	3588
SANDRA				81	455	1409	1280	246	71	3542
LETICIA					19	44	220	1034	2212	3529
JULIANA					21	167	1159	1290	876	3513
ELIANE				30	203	1016	1604	535	118	3506
DIEGO						18	743	1831	899	3491
BRUNA						15	322	1683	1409	3429
ELIAS	15	61	113	310	635	809	725	419	280	3367
FERNANDA					17	111	831	1381	1006	3346
MARCIO				26	149	1093	1414	444	175	3301
GUILHERME			28	30	33	60	132	578	2418	3279
JAQUELINE					34	144	707	1539	703	3127
ANDREIA					25	492	1768	678	149	3112
DAIANE						22	770	1829	467	3088
LUCIANA					51	649	1628	561	191	3080
ROBERTO			64	231	622	855	743	290	125	2930
LEONARDO			25	43	58	140	381	1271	1008	2926
ADRIANO					48	388	1421	817	251	2925
LUANA						22	336	1254	1311	2923
LUZIA	38	138	317	584	685	643	338	92	29	2864
ROSANGELA				52	351	1128	968	254	55	2808
RAIMUNDA	92	241	406	605	664	470	233	56	19	2786
SIMONE					62	492	1495	615	116	2780
MARLENE			65	478	938	882	338	51		2752
ANTONIA	70	175	355	536	647	511	314	83	36	2727
VITORIA			21	24	25	22	15	287	2327	2721
SERGIO			42	158	483	816	726	325	133	2683
ALEXANDRE		19	17	25	77	313	768	798	610	2627
JORGE	21	74	158	388	640	436	352	305	208	2582
GERALDO	59	217	419	574	684	376	132	59	26	2546
DEBORA					40	185	577	980	755	2537
ERICA				18	20	104	611	1081	691	2525
APARECIDA	27	73	218	488	729	659	210	66	23	2493
JEFERSON					30	159	571	1272	447	2479
CRISTIANE					29	446	1238	636	124	2473
ALEX					19	259	784	903	482	2447
RICARDO			17	75	143	341	670	715	477	2438
JULIO	21	41	62	119	183	264	508	594	641	2433
SONIA			31	198	784	925	377	76	17	2408
SUELI			16	162	494	917	638	136	27	2390
SAMUEL			29	76	186	290	422	498	827	2328
JULIA	24	66	105	122	133	93	99	262	1394	2298
MARLI			39	232	716	854	374	50	19	2284
RONALDO				44	213	576	885	445	101	2264
ROGERIO				37	101	494	958	558	108	2256
LARISSA							120	800	1323	2243
ROSA	40	107	228	365	579	603	211	71	35	2239
ANDRESSA						20	217	1103	896	2236
NATALIA		18	19	32	23	22	238	809	1075	2236
BEATRIZ			24	40	57	75	147	652	1240	2235
REGINALDO				52	212	743	849	294	77	2227
LUCIANO			18	32	81	486	811	553	231	2212
FABIANA						151	1053	780	211	2195
RAQUEL			23	48	150	397	672	538	365	2193
DAVI		24	40	110	221	304	335	318	821	2173
MARTA		29	56	172	443	697	523	177	56	2153
RENATO			25	80	151	268	734	614	273	2145
ELAINE					65	307	815	651	289	2127
