uf	14									
Nomes	<1930	<1940	<1950	<1960	<1970	<1980	<1990	<2000	<2010	Total Geral
MARIA	305	774	1923	4109	5113	3805	2115	855	1849	20848
JOSE	133	328	876	1681	2202	1828	1224	770	689	9731
ANTONIO	68	176	575	977	1533	1581	1276	566	358	7110
FRANCISCO	59	206	520	1004	1462	1414	1194	493	263	6615
ANA	19	27	64	155	401	763	1016	1260	2760	6465
JOAO	59	163	352	611	733	624	568	762	1792	5664
RAIMUNDO	66	202	431	793	990	747	433	150	54	3866
CARLOS		17	44	164	365	445	490	438	814	2777
FRANCISCA	55	130	245	404	595	624	429	153	55	2690
PAULO		21	53	190	356	430	548	557	524	2679
PEDRO	29	76	157	242	273	235	216	315	1073	2616
LUCAS						33	78	917	1419	2447
ANTONIA	40	65	143	271	442	502	414	174	68	2119
MARCOS			16	31	120	331	543	489	571	2101
LUIZ	15	36	93	234	291	238	211	246	521	1885
GABRIEL						20	72	479	1185	1756
DANIEL				32	71	154	346	507	603	1713
RAIMUNDA	50	120	233	299	380	299	175	38		1594
MANOEL	35	111	194	303	307	288	166	94	59	1557
LUIS		18	71	150	193	181	181	211	428	1433
MATEUS						19	37	443	918	1417
EDUARDO				30	48	73	185	394	649	1379
FELIPE						28	112	493	604	1237
RAFAEL					15	33	279	541	354	1222
ANDRE					30	108	335	396	339	1208
BRUNO						30	203	535	406	1174
MARCELO					42	158	354	360	176	1090
FILHO								33	1032	1065
FERNANDO			20	41	63	119	238	286	257	1024
FABIO					19	119	420	300	160	1018
RODRIGO						65	227	431	289	1012
JESSICA							78	705	220	1003
TIAGO						16	219	379	388	1002
ADRIANA					15	171	454	287	73	1000
FILHA								27	956	983
JULIANA						42	208	356	348	954
FERNANDA						44	185	342	355	926
VITORIA							17	170	720	907
SEBASTIAO		45	92	186	220	163	107	55	33	901
ANDERSON						70	282	378	166	896
ALINE						30	174	379	300	883
GUILHERME					17	17	36	157	656	883
LEANDRO						45	249	380	203	877
AMANDA						24	63	338	446	871
MARCIA				16	73	228	352	137	61	867
DIEGO							255	361	244	860
SANDRA				24	169	324	216	75	47	855
SARA					20	46	101	233	451	851
GUSTAVO						22	49	125	649	845
LETICIA						15	48	220	559	842
MARCIO					38	251	306	156	90	841
PATRICIA					34	163	282	267	66	812
LEONARDO					18	30	116	401	232	797
SAMUEL					30	71	126	184	383	794
BRUNA							90	357	345	792
VITOR					16		30	151	575	772
THIAGO							185	263	306	754
CAMILA							108	327	316	751
ALEXANDRE					37	110	151	230	221	749
RICARDO				31	46	126	158	190	198	749
RAQUEL					29	75	189	234	221	748
DAVI				15	33	57	67	143	427	742
VANESSA						37	165	318	222	742
EDSON				42	88	159	222	143	84	738
LARISSA							50	312	371	733
ELIANE				17	58	175	258	161	61	730
ROBERTO				46	119	187	194	102	67	715
ADRIANO					15	68	265	229	127	704
DEBORA					21	61	139	222	248	691
LUANA						18	138	254	273	683
MANUEL	15	41	73	131	140	124	79	40	40	683
ALEX						77	194	235	176	682
DANIELE						32	173	268	192	665
CARLA					20	68	187	185	178	638
LUCIANA					16	117	261	145	97	636
NATALIA						18	115	282	216	631
ANDREIA						106	289	160	63	618
JOANA	18	22	55	71	116	95	92	57	83	609
VICTOR							30	144	424	598
BEATRIZ					22	17	37	154	361	591
ELIAS		15	27	60	100	104	85	82	116	589
RENATO				26	40	82	190	171	73	582
JORGE			26	70	101	88	107	115	74	581
RONALDO				18	54	128	171	158	52	581
JULIO			15	35	69	77	132	107	143	578
CAIO							40	172	364	576
ROSA		28	53	92	135	149	57	35	20	569
MARIO			32	61	104	101	116	83	54	551
JULIA			23	27	31	37	45	63	321	547
MATHEUS								210	337	547
ERICA						26	111	214	195	546
RITA		16	45	82	118	104	77	49	45	536
JAQUELINE					22	58	126	215	105	526
ANGELA				30	82	143	110	88	67	520
CRISTIANE						114	220	138	47	519
FABIANA						50	217	171	80	518
SIMONE					22	116	259	68	46	511
SERGIO				28	86	102	123	90	80	509
MIGUEL		18	30	44	69	56	42	46	197	502
GABRIELA							54	167	280	501
