uf	43									
Nome	<1930	<1940	<1950	<1960	<1970	<1980	<1990	<2000	<2010	Total Geral
MARIA	13445	28443	53535	84031	68092	27836	10359	7084	29413	322238
JOAO	3161	8753	17470	28760	30224	14767	10364	13097	36775	163371
JOSE	2536	8386	20627	37896	38630	19421	9897	5859	4395	147647
ANA	1393	2463	5358	11772	16815	18696	22376	20032	27379	126284
PAULO	352	1399	5347	18862	31405	25521	14197	7295	4079	108457
LUIS	425	1396	4592	13032	19813	13472	11378	10011	10497	84616
CARLOS	493	1507	4978	11621	17067	14364	12905	7773	8153	78861
ANTONIO	1729	4944	10498	17182	16345	9389	4261	2128	2156	68632
LUCAS	16	37	82	101	168	614	7864	30953	27472	67307
LUIZ	566	1908	6093	14260	14798	8103	6645	5865	6555	64793
PEDRO	1251	3524	6853	10555	9556	4111	3561	6168	17336	62915
GABRIEL	82	218	329	401	388	768	4773	18334	32954	58247
RAFAEL	27	66	73	139	284	4198	18648	17058	11567	52060
EDUARDO	139	380	751	1457	3231	5313	9090	13230	18080	51671
MARCOS	53	154	360	1355	6134	12391	12968	7514	4186	45115
MARCELO	23	40	79	261	3150	14377	15865	7560	3135	44490
RODRIGO		21	15	50	312	7931	21233	10765	4016	44343
JORGE	256	914	2788	12577	14185	6563	3827	2023	1190	44323
VERA	104	451	3698	15671	15959	6126	1411	261	84	43765
LEONARDO	75	156	254	435	813	2764	6600	17666	14069	42832
GUILHERME	145	235	308	343	466	968	5960	16531	17803	42759
DANIEL	65	169	481	998	2598	7453	12908	10036	7702	42410
BRUNO	161	435	645	614	419	363	5429	17720	13822	39608
BRUNA					23	124	5140	23184	10504	38975
MARCIA	27	41	132	931	9060	16937	9105	2071	448	38752
FERNANDA		17	30	71	537	4383	14626	12014	6689	38367
FELIPE	36	92	177	221	339	1328	8503	15693	11782	38171
MATEUS	18	34	68	98	154	638	4041	15715	16098	36864
ANDRE	62	164	304	713	3259	10334	12846	5559	2863	36104
TIAGO			23	36	81	1624	19124	9197	5968	36053
PATRICIA		21	28	103	809	11140	13402	8709	1500	35712
LEANDRO	23	40	89	189	1669	11197	11741	6363	2580	33891
JULIANA	46	60	103	139	345	4289	14693	9721	4450	33846
ALINE				18	164	2684	15623	11738	3064	33291
GUSTAVO	37	70	98	188	486	2192	4725	8488	16312	32596
SERGIO	59	487	2242	8323	11229	5953	2358	1108	507	32266
ANDERSON			19	43	256	3319	12443	12116	3964	32160
SANDRA		43	729	3979	9820	10960	5013	1032	320	31896
ALEXANDRE	69	212	268	594	3091	11471	8653	4633	2675	31666
JULIA	469	676	851	917	652	467	1779	6597	19091	31499
ADRIANA		25	44	163	3445	16008	8354	2844	611	31494
MARCIO		21	62	201	1686	14216	11997	2426	822	31431
FERNANDO	144	413	788	1899	3383	4374	10193	6578	3507	31279
DIEGO				19	45	1223	16448	9949	3401	31085
CAMILA	37	44	46	39	42	698	8696	13725	7043	30370
GABRIELA	24	62	50	53	100	983	5014	10790	10958	28034
EVA	1385	3910	6536	7617	5212	2236	667	223	116	27902
FABIO	20	49	102	323	1477	7217	12357	4294	1764	27603
CLAUDIA	23	72	154	550	5815	12002	5844	2405	677	27542
JESSICA					25	89	2293	21730	3365	27502
CLAUDIO	126	580	2254	5132	7805	6875	2510	1218	615	27115
TEREZINHA	340	3323	6368	8663	5940	1842	424	65	20	26985
RICARDO	92	204	450	1820	4249	5618	7036	4738	2693	26900
VANESSA				21	87	1362	12936	8764	3017	26187
CARLA		17	39	189	3496	7958	8416	4078	1568	25761
LUCIANO	28	57	136	239	1324	12120	7119	3101	1383	25507
DANIELA				25	324	4934	9960	7377	2733	25353
SIMONE			25	116	2573	11185	8786	2037	296	25018
VITOR	73	229	624	1008	1336	1331	2152	4503	13657	24913
MARLENE		959	4079	7640	7708	3114	809	155	40	24504
AMANDA	119	117	67	36	43	323	2403	8914	12397	24419
DOUGLAS			33	50	135	666	6546	12912	3894	24236
ROBERTO	121	417	1510	3479	5697	5315	4619	2077	840	24075
ROSANE			59	1728	10449	7895	3086	636	83	23936
ADAO	815	2931	5620	6715	4573	2123	688	290	144	23899
LETICIA	69	80	54	56	152	2104	5943	8693	6732	23883
EDUARDA					25	45	218	5434	18145	23867
VITORIA	140	252	303	262	131	85	125	4564	17589	23451
ELIANE			96	1532	5913	7896	6120	1479	313	23349
LUANA				23	48	307	4428	11524	6808	23138
CAROLINE				21	41	710	5114	11060	6169	23115
CRISTIANE				24	493	7509	11091	3290	668	23075
JULIO	297	674	1284	2879	4986	4261	4125	2691	1877	23074
MARLI		175	2107	5415	8912	4805	1212	178	38	22842
CRISTIANO	23	38	44	75	138	7028	10527	3678	1039	22590
ANGELA	297	290	363	2709	6237	6170	3980	1601	581	22228
DAIANE					21	842	13392	6411	1257	21923
SONIA	60	353	1974	5953	7221	3802	1629	283	73	21348
VINICIUS		17	30	39	136	911	4653	7772	7674	21232
LAURA	366	678	1010	1260	1263	1006	1592	3806	10138	21119
LUCIANA	37	48	55	99	1094	10226	6943	1884	688	21074
ROSA	1076	1566	2882	5733	5349	3099	818	177	97	20797
MAURICIO	45	76	204	355	893	2980	5970	7419	2802	20744
DEBORA		20	40	119	676	3083	7133	6730	2797	20598
ANDREIA				29	610	9214	7816	2412	508	20589
MATHEUS					29	135	1613	9174	9382	20333
NATALIA	132	296	378	401	313	275	2438	8053	7762	20048
JEFERSON				80	795	3343	7224	6616	1833	19891
FRANCISCO	663	1623	2573	4598	4194	2012	1934	993	1230	19820
JULIANO				57	192	3025	8901	5533	1940	19648
EDSON	23	167	568	1853	4312	5413	4378	1957	667	19338
JAQUELINE				68	2461	4385	5847	4869	1668	19298
ADRIANO	36	69	99	145	1087	5931	7227	3346	1356	19296
GILBERTO	37	294	1441	3660	5863	4108	2288	933	276	18900
VALDIR	64	496	2542	5572	5979	3042	822	253	88	18858
HENRIQUE	181	411	532	642	764	751	2253	5344	7941	18819
LUCIA	505	1174	2164	5105	5368	2673	1222	327	209	18747
ROGERIO		32	178	1236	5165	6449	4023	1325	321	18729
RAQUEL	22	55	117	252	1096	4268	6992	3944	1803	18549
MARIO	449	1209	2549	4416	4822	2430	1558	623	301	18357
