uf	42									
Nome	<1930	<1940	<1950	<1960	<1970	<1980	<1990	<2000	<2010	Total Geral
MARIA	6169	14154	29532	51234	48001	18952	8030	7739	26747	210558
JOAO	1526	4146	8233	13947	15795	8180	7333	10399	24804	94363
JOSE	1494	4646	10872	21620	24273	12880	7425	4749	3913	91872
ANA	961	1601	2805	5085	6703	7332	14529	18506	23426	80948
ANTONIO	1006	3064	6995	11910	12894	7053	3459	1640	1310	49331
LUIZ	292	875	2617	6946	9425	5745	5992	6854	7532	46278
PAULO	176	633	1690	4796	8303	8709	7329	4828	3132	39596
LUCAS	16	39	45	104	133	268	2717	17872	18253	39447
PEDRO	653	1850	4209	7066	7223	3007	2110	2934	9172	38224
CARLOS	156	480	1351	4042	7233	6079	6625	4933	6083	36982
GABRIEL	31	82	154	211	237	322	2159	10245	21948	35389
MARCOS	32	100	218	847	3834	8494	8850	5525	3678	31578
RAFAEL		44	88	117	188	1811	11951	10233	5730	30162
EDUARDO	53	119	300	572	1102	2675	5621	8507	9613	28562
LUIS	112	369	992	2957	5016	3548	3589	4245	4871	25699
RODRIGO				27	201	3687	11083	7216	2094	24308
MARCELO			29	124	1722	7492	8622	4511	1718	24218
DANIEL	29	143	320	675	1240	2981	6598	6609	5161	23756
ANDRE	42	91	155	263	870	3536	8437	6641	3658	23693
GUSTAVO	21	54	58	98	125	678	2362	6277	13796	23469
GUILHERME	56	120	159	195	200	397	2951	8839	10423	23340
BRUNA						61	2976	13425	6288	22750
BRUNO	68	160	297	268	285	311	3489	9790	7509	22177
MATEUS		18	30	53	98	226	1075	7908	12275	21683
JULIANA	19	22	24	47	156	2488	11214	5592	2046	21608
FELIPE	16	44	70	115	133	352	4260	9409	7158	21557
MARCIA		15	117	779	5276	8479	5090	1216	210	21182
FERNANDO	50	124	245	569	1054	2884	8658	5382	1974	20940
PATRICIA		16	19	47	441	5448	8217	5697	917	20802
ADRIANA			16	53	1307	9588	6981	2245	354	20544
TEREZINHA	91	1294	3719	6754	5866	2077	509	60	16	20386
ANDERSON				23	153	2713	8447	6672	2020	20028
FERNANDA				25	126	1878	7351	6762	3598	19740
MARCIO			97	384	2730	8339	6259	1364	490	19663
LEONARDO	36	118	189	239	332	810	3384	8401	6153	19662
TIAGO			16	29	38	294	7985	6684	4257	19303
SANDRA			96	1236	5194	7717	3975	851	178	19247
ALINE				24	72	654	6322	9219	2772	19063
LEANDRO	26	31	68	95	253	2493	7765	5867	2058	18656
EDSON		37	196	1245	4154	5775	4491	1722	567	18187
CAMILA		24	24	26	20	245	4002	8408	4712	17461
SERGIO	23	86	538	2642	5791	4877	2067	844	408	17276
JULIA	190	359	444	455	342	230	913	3409	10848	17190
ALEXANDRE	61	97	140	220	782	5075	5177	3590	1783	16925
RICARDO	48	93	185	540	1386	3515	5708	3742	1689	16906
AMANDA	60	44	44	26	22	167	1287	6285	8927	16862
GABRIELA				18	41	360	2549	6445	7385	16798
MARLI		81	859	3578	6600	4288	1055	180	30	16671
LETICIA	27	61	76	62	107	430	1785	5660	8439	16647
FABIO		15	24	102	644	4263	7486	2921	1115	16570
DIEGO					18	261	7095	6863	2192	16429
JESSICA						40	1047	12866	2316	16269
ELIANE			65	637	3010	6019	4845	1245	215	16036
VANESSA				18	65	869	6483	5832	2197	15464
MARLENE		208	1411	4459	5473	2833	722	140	32	15278
SIMONE				41	903	6285	5992	1537	211	14969
FRANCISCO	359	905	1824	3580	3645	1753	1387	629	675	14757
VALDIR	27	367	1581	3677	4636	2554	885	309	104	14140
