uf	28									
Nome	<1930	<1940	<1950	<1960	<1970	<1980	<1990	<2000	<2010	Total Geral
MARIA	5793	12119	22566	34035	40541	30029	17602	10442	15492	188619
JOSE	2307	5349	12376	20400	29545	27481	21858	15798	11315	146429
ANA	216	332	562	1371	3328	5346	6935	5461	7595	31146
JOAO	829	1562	2604	3486	3842	2830	2621	4041	8636	30451
JOSEFA	1041	2065	3605	4952	5578	4218	2622	1375	587	26043
ANTONIO	642	1507	3072	4497	5157	4399	3039	1912	1617	25842
CARLOS	45	117	415	1095	2081	2697	3864	2996	4455	17765
MARCOS			55	168	1034	2725	2703	2418	2498	11601
PEDRO	269	489	869	1074	1260	944	851	1289	3534	10579
PAULO	69	185	410	774	1360	1781	2080	1945	1881	10485
LUCAS				19	29	95	830	4786	4367	10126
MANOEL	506	877	1458	1887	1952	1407	922	574	369	9952
LUIZ	60	192	462	858	1165	1108	1346	1564	2669	9424
GABRIEL		27	38	49	48	57	241	1644	4900	7004
RAFAEL		20	25	55	53	94	1436	3258	1995	6936
LUIS	41	90	263	488	797	792	977	1123	2000	6571
ADRIANA					114	2500	2507	769	196	6086
DANIEL	22	73	118	144	223	345	1047	2073	1938	5983
FRANCISCO	219	479	789	1083	1250	806	674	347	293	5940
BRUNO					15	122	1109	2777	1810	5833
FABIO				16	139	1342	2496	980	614	5587
MANUEL	283	483	818	981	1060	765	472	294	206	5362
MATEUS						40	236	2176	2901	5353
ANDERSON				16	64	610	1923	1712	862	5187
ANDRE		24	36	47	120	910	1922	1201	874	5134
ALINE					33	192	2209	2032	573	5039
MARCELO			21	71	329	1015	1800	1115	685	5036
JORGE	19	45	160	678	1228	965	706	638	392	4831
VITORIA						19	25	689	3950	4683
FELIPE						27	506	2028	2100	4661
EDUARDO	18	29	69	163	311	632	888	880	1621	4611
JESSICA							570	3349	654	4573
PATRICIA					59	1437	1990	840	184	4510
CARLA					64	423	1527	1439	1016	4469
DIEGO						22	1687	1964	795	4468
JULIANA					21	154	1347	1959	872	4353
TIAGO					21	101	1744	1521	952	4339
RODRIGO						144	1173	1994	993	4304
EDSON	18	48	130	277	539	912	1215	696	419	4254
FERNANDA					32	223	1360	1651	969	4235
MARCIO				24	135	1258	1768	615	426	4226
MARCIA				72	448	1402	1565	504	155	4146
ADRIANO					55	659	2082	951	376	4123
LETICIA		16	15	26	28	45	194	1032	2664	4020
VITOR				19	19	28	165	993	2792	4016
ROBERTO		35	123	314	796	1090	871	453	262	3944
LUCIANA				22	90	892	1821	770	325	3920
VANESSA						106	1368	1537	867	3878
GUSTAVO				15	38	123	304	659	2718	3857
CAMILA						32	796	1677	1327	3832
LARISSA						23	254	1691	1845	3813
LUCIANO		26	66	142	350	923	1287	598	346	3738
AMANDA						96	968	1804	859	3727
RICARDO			15	92	278	828	1255	774	469	3711
CRISTIANE					85	1082	1762	570	133	3632
LUANA						22	612	1901	1086	3621
BRUNA						15	306	1827	1445	3593
RAIMUNDO	95	249	581	746	838	532	309	158	53	3561
DANIELA						246	1355	1405	451	3457
ALEX					36	638	1107	1116	559	3456
FERNANDO		52	132	280	347	410	782	951	501	3455
SANDRA				93	394	1468	1192	220	69	3436
EVERTON				35	119	443	1062	1059	686	3404
DANILO						33	723	1651	978	3385
SIMONE					208	1216	1468	337	72	3301
LEONARDO		18	51	68	65	137	422	1490	1016	3267
MARIANA	28	31	41	46	40	56	366	994	1663	3265
ALEXANDRE		17	22	28	80	510	891	915	746	3209
ALISSON						99	984	1385	738	3206
FABIANA					15	334	1784	770	247	3150
BEATRIZ	21	42	62	64	61	58	144	1016	1665	3133
LEANDRO				34	33	62	876	1412	716	3133
RAFAELA						16	616	1688	804	3124
CICERO	43	139	284	496	710	673	410	222	111	3088
MONICA				20	180	898	1235	560	155	3048
RITA	36	73	149	304	837	780	436	247	142	3004
ELAINE					24	388	1410	866	284	2972
JULIA	96	136	141	118	83	69	93	340	1858	2934
ERICA					16	128	873	1064	840	2921
ROSANGELA				132	572	1073	793	276	74	2920
VERA			95	778	972	702	296	50	25	2918
IGOR						17	538	1416	944	2915
SERGIO			34	151	479	975	677	359	229	2904
CLAUDIA				29	218	1022	938	469	194	2870
THIAGO						87	1194	897	656	2834
JOANA	170	215	265	294	304	275	333	420	547	2823
GUILHERME		18		18	29	39	106	370	2238	2818
ALAN					16	117	730	1037	883	2783
ROBSON				27	185	620	989	644	317	2782
JEFERSON					43	129	496	1357	743	2768
JOSEANE					122	803	1026	678	115	2744
DAVID				31	46	66	474	959	1148	2724
FLAVIA					17	237	926	836	663	2679
JULIO	42	80	105	139	187	358	640	464	658	2673
JAQUELINE					54	306	1117	950	241	2668
REGINALDO		26	122	327	593	862	469	191	65	2655
DEBORA				18	68	272	685	923	677	2643
RENATA					19	192	821	1037	570	2639
MATHEUS						21	148	1077	1358	2604
FLAVIO			23	45	78	379	870	627	577	2599
