uf	35									
Nome	<1930	<1940	<1950	<1960	<1970	<1980	<1990	<2000	<2010	Total Geral
MARIA	65218	150588	313277	541950	487742	252657	105600	48444	177756	2143232
JOSE	22533	65906	147125	266252	275807	175050	97882	42759	25458	1118772
ANA	8735	14626	26278	47015	68211	98001	118779	101310	181198	664153
JOAO	11740	30225	56790	94138	92115	53223	51130	67307	154183	610851
ANTONIO	13733	37635	78639	122160	113262	73158	37326	13435	8611	497959
PAULO	1672	5644	14747	39920	69634	71267	62007	41879	26867	333637
CARLOS	1316	4128	13892	41553	72758	62678	62123	34664	35814	328926
LUCAS	68	120	269	631	1026	2424	25632	135252	117418	282840
LUIZ	2625	8012	20159	46673	51823	35598	37124	33164	35804	270982
PEDRO	4145	10570	19034	28779	28464	15997	18785	34670	103872	264316
MARCOS	141	450	2225	12201	44646	77671	54143	38053	28913	258443
GABRIEL	286	583	779	1309	1382	2184	13937	82995	153046	256501
LUIS	1773	5157	13003	34276	47396	35398	36256	35029	38294	246582
RAFAEL	315	638	1069	1652	2125	6731	84334	85686	48728	231278
FRANCISCO	4829	12132	22740	42361	47696	34506	24438	8110	4299	201111
MARCELO	94	192	520	2183	22935	79386	55047	24643	12445	197445
BRUNO	158	290	414	549	845	3113	52916	88579	41171	188035
FELIPE	124	214	305	478	753	3142	34661	82494	64192	186363
GUILHERME	267	559	830	1107	1629	3347	16511	61802	89994	176046
RODRIGO	54	97	175	386	1152	27041	86533	41633	15988	173059
EDUARDO	615	1537	3397	8114	16744	31785	38361	27394	38274	166221
GUSTAVO	89	167	278	522	1119	6964	18501	45855	92158	165653
DANIEL	302	1047	2692	5998	11659	24385	46925	37138	35262	165408
JULIANA	122	197	242	435	1086	18568	76050	44244	17619	158563
FERNANDO	540	1785	3750	8009	15957	30750	55532	28217	13481	158021
ANDRE	299	737	1047	2054	7432	38298	58909	30566	18192	157534
FABIO	96	340	573	2010	7626	47291	65022	20902	9347	153207
MARCIA	55	210	1866	12263	46391	59747	26261	4718	1102	152613
ADRIANA	66	135	223	623	10448	80860	45598	10026	1844	149823
RICARDO	230	556	1641	5745	16566	47498	46667	17811	8996	145710
APARECIDA	5676	14637	25771	44178	33844	13361	5145	1215	323	144150
FERNANDA	113	224	342	677	2714	20283	56888	38141	21772	141154
PATRICIA	29	47	136	606	5187	49191	56723	23714	3987	139620
LEONARDO	141	443	849	1411	2117	6813	24186	54987	47826	138773
ALINE	45	70	80	152	536	5229	56296	56936	13077	132421
CAMILA	67	74	112	198	420	5060	46865	53392	25551	131739
SANDRA	36	112	1464	13409	42724	51678	18684	2473	747	131327
BRUNA	112	79	89	89	223	993	26808	72921	28976	130290
ALEXANDRE	259	591	804	1796	8637	54071	34223	17265	10505	128151
JULIA	2254	3261	3843	3730	2911	2176	4633	19512	85694	128014
LEANDRO	60	125	202	419	1259	17925	64958	30491	12297	127736
LETICIA	184	300	297	441	705	2812	14781	51201	52688	123409
MATEUS	53	105	243	406	623	1736	6936	44327	68604	123033
ROBERTO	561	2446	8544	20722	32186	29606	19103	6616	2958	122742
BEATRIZ	531	1089	1550	2255	3045	3775	7377	39908	63049	122579
ANDERSON	16	27	97	358	1914	24675	57513	28923	8572	122095
GABRIELA	150	182	191	228	351	2912	15735	50805	49039	119593
EDSON	144	1019	3904	14472	31533	33483	22458	8342	3177	118532
JESSICA		16	31	63	203	793	13752	89050	13474	117382
MARCIO	28	165	1001	3310	14578	52931	33789	7703	3693	117198
AMANDA	23	61	83	145	262	3351	21831	57754	33539	117049
SERGIO	340	1971	5964	16260	33503	32486	16180	6685	3081	116470
VITOR	176	791	1440	1919	1960	2327	9668	35276	62607	116164
TIAGO	39	59	125	199	404	3195	59021	31808	20969	115819
LUCIANA	73	111	197	605	5551	57857	39550	7049	2056	113049
VANESSA		18	41	140	545	12667	64236	25961	6962	110570
MARIANA	687	949	1293	1517	1476	3739	27252	35636	37347	109896
DIEGO	34	55	60	94	188	1335	45751	44680	16594	108791
SONIA	153	926	7389	34241	40921	18881	4774	820	296	108401
VERA	516	1315	9561	37277	36501	16956	4102	648	225	107101
MATHEUS	27	68	90	150	199	910	4721	40929	59815	106909
VINICIUS	18	36	77	202	453	2078	12363	41202	47549	103978
RENATA	124	140	234	784	4748	29089	44656	18037	5144	102956
THIAGO	27	35	51	116	213	2796	48574	25894	20708	98414
NATALIA	271	521	782	829	870	1599	23575	46228	22494	97169
LARISSA			32	51	163	899	7612	45183	43211	97151
CLAUDIO	272	1119	4939	14149	22413	32099	13344	5106	2478	95919
DANIELA	15	25	41	148	862	23208	41998	20641	6883	93821
RENATO	384	928	2182	4817	9830	22075	32782	14430	5868	93296
CLAUDIA	105	234	606	2202	19881	42847	19684	5347	1370	92276
VITORIA	385	621	916	981	792	660	862	15744	67566	88527
SUELI	31	138	3019	21499	33571	20124	7284	1253	354	87273
SEBASTIAO	3669	9996	18657	24367	18031	7924	2925	719	278	86566
ROGERIO	64	201	471	1721	10480	36138	27668	7056	2447	86246
ELAINE	34	48	245	1297	10408	35606	29156	7273	1530	85597
SIMONE	20	51	133	454	7344	41354	29703	4691	656	84406
FABIANA	19	16	51	123	919	26877	42980	10366	2747	84098
ANTONIA	5201	9867	15841	18003	15912	10687	5814	1491	688	83504
BENEDITO	3831	10478	18928	25229	16555	5528	1812	560	176	83097
ROSANGELA		42	174	5676	27946	32002	13764	2340	309	82253
CRISTIANE		16	28	185	4623	35315	33929	6887	1135	82118
JULIO	817	1850	2728	5258	8813	15100	19891	14623	11930	81010
DEBORA	41	97	191	751	5428	15479	27466	22069	9479	81001
JORGE	821	2654	6143	16798	19001	12251	11303	6709	3534	79214
ALEX	16	31	79	238	1145	15664	31213	22748	8032	79166
ADRIANO	106	273	375	561	2540	25142	35677	10788	3598	79060
MANOEL	3524	8661	13515	18110	16777	10534	5210	1726	980	79037
DANILO	52	155	319	607	953	3550	31467	29462	11691	78256
ANDREIA	18	35	79	183	2343	41038	26708	5518	1055	76977
ROSA	4822	8079	12393	18959	17325	10853	2944	678	353	76406
BIANCA	28	19	20	59	244	1875	7197	32333	33539	75314
LUANA			33	81	203	1007	16591	32474	24915	75304
PRISCILA	42	57	120	238	663	7696	42077	19920	3659	74472
RITA	1305	2558	4444	10848	23936	17618	8777	2961	1394	73841
REGINA	888	1665	5141	16283	24114	16700	6359	1734	511	73395
SILVIA	374	805	2560	7941	22495	25456	10682	2099	654	73066
DOUGLAS	29	110	331	808	2299	7767	22751	29481	9363	72939
VICTOR	107	367	441	562	685	1087	6445	26443	36424	72561
MARIO	2271	5144	9252	15317	15562	10212	8115	3702	1900	71475
ISABELA	16	30	42	118	311	826	3069	22017	44999	71428
