uf	17									
Nome	<1930	<1940	<1950	<1960	<1970	<1980	<1990	<2000	<2010	Total Geral
MARIA	1424	3753	8231	15625	19289	16342	9677	4166	8533	87040
JOSE	732	1897	3913	6227	7919	6910	4710	2720	1918	36946
JOAO	430	1063	1909	2944	3305	2712	2289	2957	7369	24978
ANA	183	368	611	880	1421	2088	3485	4466	9994	23496
ANTONIO	430	1113	2093	3162	4352	4187	3267	1709	932	21245
RAIMUNDO	310	907	1580	2324	2930	2318	1411	547	151	12478
FRANCISCO	196	563	1252	1828	2469	2336	2010	916	472	12042
PEDRO	224	492	837	1216	1301	999	861	1524	3869	11323
MARCOS		20	34	79	279	814	1759	3122	3373	9480
CARLOS	21	43	110	320	878	1130	1459	1544	3841	9346
PAULO	23	59	163	443	893	1264	1776	2290	1975	8886
LUCAS		16	33	27	41	65	299	3808	3967	8256
MANOEL	292	701	1042	1379	1572	1321	795	320	175	7597
LUIZ	73	232	446	771	1002	823	697	755	1821	6620
RAIMUNDA	223	552	914	1282	1293	1068	556	156	36	6080
ANTONIA	173	363	707	934	1090	1100	863	424	175	5829
GABRIEL		17	29	40	53	39	161	1385	3986	5710
FRANCISCA	151	344	647	879	1058	1058	800	316	108	5361
DANIEL		46	74	93	170	253	745	1757	2068	5206
LUIS	58	145	311	544	671	632	524	701	1607	5193
MATEUS					26	30	79	1768	2818	4721
RAFAEL		28	29	24	61	82	888	1973	1327	4412
EDUARDO		23	40	108	113	215	510	1308	1734	4051
GUSTAVO					20	69	286	1098	2438	3911
SEBASTIAO	111	273	467	715	864	701	469	227	79	3906
DOMINGOS	96	219	403	604	886	723	515	212	58	3716
FERNANDO			27	74	123	327	1110	1395	551	3607
BRUNO						35	530	1544	1323	3432
MARCELO				24	107	540	1122	1037	532	3362
LEANDRO					19	151	1269	1404	490	3333
LEONARDO			25	36	56	165	592	1464	763	3101
FERNANDA					24	119	733	1384	816	3076
TIAGO			20	15		35	631	1240	1131	3072
AMANDA						27	158	1249	1636	3070
GUILHERME			17	27	29	32	146	704	2077	3032
RODRIGO					16	192	780	1362	663	3013
JOANA	169	303	385	516	541	440	318	171	151	2994
ADRIANA					54	505	1272	935	214	2980
FABIO				15	71	429	1344	737	369	2965
ANDRE		17	30	31	70	237	806	951	804	2946
RICARDO		21	22	40	110	295	772	1020	605	2885
PATRICIA					34	324	966	1247	312	2883
ALINE						59	715	1389	712	2875
FELIPE			27	17	25	29	168	965	1598	2829
EVA	58	138	262	446	573	532	442	250	116	2817
VITORIA		26		19	15	22	20	385	2316	2803
JULIANA	16	19	34	27	28	122	532	1000	1010	2788
LUANA						23	374	1348	999	2744
SAMUEL				21	41	96	336	714	1484	2692
VITOR		16	23	23	21	27	70	485	2005	2670
LUCIANA				20	53	454	1275	631	229	2662
LUZIA	54	166	323	541	537	439	315	192	64	2631
LETICIA						32	266	1021	1286	2605
CAMILA						24	307	1047	1124	2502
MARCIA				38	215	712	978	401	111	2455
JOAQUIM	119	267	410	487	442	310	203	94	117	2449
DANIELA						107	452	1180	684	2423
SARA					24	61	219	729	1341	2374
VANESSA						66	448	1131	723	2368
ADAO	28	84	202	277	482	430	456	246	110	2315
GABRIELA						15	122	759	1411	2307
THIAGO						18	542	906	821	2287
DIEGO							570	1042	657	2269
SANDRA				51	257	739	855	254	98	2254
MARCIO				20	113	581	869	406	194	2183
WANDERSON						60	466	1101	532	2159
EDSON		22	55	144	336	604	533	242	175	2111
BRUNA							157	975	956	2088
ELIANE				31	149	533	886	385	101	2085
ADRIANO					29	240	795	662	347	2073
CICERO	30	105	171	298	370	527	342	142	50	2035
MATHEUS							26	828	1171	2025
RITA	39	126	283	325	374	340	260	153	118	2018
RENATO				62	97	258	657	645	274	1993
ROBERTO		20	42	98	288	455	586	330	169	1988
ROSA	67	123	225	369	467	468	183	39	36	1977
MANUEL	66	167	261	338	429	332	227	90	64	1974
NATALIA				27	19	28	202	850	844	1970
LUIZA	61	195	303	406	337	238	153	92	159	1944
RAQUEL			19	30	68	198	466	637	518	1936
JULIA	51	82	108	118	102	79	103	222	1069	1934
MARIANA	15	24	52	50	49	41	216	557	925	1929
BEATRIZ		17	22	23	49	45	85	578	1106	1925
LUCIANO			17	36	67	348	587	540	308	1903
JULIO	19	54	77	113	137	198	306	343	649	1896
GEOVANA						19	45	309	1513	1886
JAQUELINE					37	67	345	959	462	1870
RONALDO				41	159	410	628	489	141	1868
DOMINGAS	38	101	228	303	401	388	261	96	18	1834
ROGERIO				19	66	358	724	479	158	1804
DANILO						34	391	792	573	1790
DAVI			42	66	86	113	133	223	1123	1786
DEBORA					22	100	297	674	691	1784
JESSICA							80	1357	336	1773
ANDREIA					15	215	798	582	158	1768
LARISSA						18	135	745	867	1765
TEREZINHA	16	143	282	472	453	250	92	29		1737
DAIANE							531	932	261	1724
SIMONE					71	407	783	373	90	1724
ALEX						147	427	639	470	1683
