Nome;Rondônia;Acre;Amazonas;Roraima;Pará;Amapá;Tocantins;Maranhão;Piauí;Ceará;Rio Grande do Norte;Paraíba;Pernambuco;Alagoas;Sergipe;Bahia;Minas Gerais;Espirito Santo;Rio de Janeiro;São Paulo;Paraná;Santa Catarina;Rio Grande do Sul;Mato Grosso do Sul;Mato Grosso;Goiás;Distrito Federal;(vazio);Total Geral
MARIA;72579;63172;173034;20848;472891;35298;87040;574689;363139;967042;341940;423026;838534;321330;188619;766238;1307650;169081;752021;2143232;432175;210558;322238;100649;125984;314352;146770;;11734129
JOSE;37986;24599;68995;9731;188231;15401;36946;247591;122242;400476;146235;222977;496389;248439;146429;419601;626188;80408;314276;1118772;225215;91872;147647;53119;70978;140281;53505;;5754529
ANA;20134;10459;47593;6465;113531;10097;23496;106192;52151;182135;60148;62654;131685;46587;31146;216404;359216;50774;297079;664153;154584;80948;126284;35495;44224;106261;49963;;3089858
JOAO;23366;10383;41234;5664;110047;8095;24978;106804;58554;148903;72363;73799;137344;43734;30451;193925;330303;49944;208941;610851;195430;94363;163371;40202;51608;111064;38398;;2984119
ANTONIO;16252;17035;42585;7110;126202;6474;21245;170373;98673;299348;49992;64275;106463;35007;25842;202813;231316;31691;144954;497959;112737;49331;68632;24663;32636;64001;28739;;2576348
FRANCISCO;11594;21103;47716;6615;77776;4575;12042;142292;135921;520279;120457;63119;50864;11233;5940;47384;67088;9008;69068;201111;29069;14757;19820;9798;13621;34521;25426;;1772197
CARLOS;9525;4188;23796;2781;55127;3918;9346;55445;21698;66431;20272;23080;64877;24382;17765;98865;154056;28284;191014;328926;67788;36982;78861;16879;19578;45017;20310;;1489191
PAULO;10402;3946;22026;2684;53620;4336;8886;36972;17041;57954;19584;19827;57215;18111;10485;77715;152366;25813;158797;333637;80162;39596;108457;18478;21345;44428;19379;;1423262
PEDRO;8838;4234;18949;2616;45434;3341;11323;43521;22645;65355;24374;24922;52820;17233;10579;71723;135277;21434;101736;264316;70440;38224;62915;15131;18522;42356;21347;;1219605
LUCAS;9910;3514;17510;2471;37329;3585;8265;28709;12500;35916;14094;17521;42527;14735;10153;67862;125732;21178;99990;282840;71868;39447;67307;15109;18261;39719;19258;;1127310
LUIZ;7655;3146;15204;1885;31738;2894;6620;11117;12044;39277;20304;17658;53454;16804;9424;47172;119407;19848;128256;270982;83333;46278;64793;16273;19570;29704;12952;;1107792
MARCOS;9150;3651;18023;2107;42649;3333;9494;36498;17872;40283;15586;16477;43577;15086;11610;75484;122227;21167;112525;258443;64002;31578;45115;13815;18165;41899;16349;;1106165
